n_numbers, 1000
start, 1
end, 1000000000000000
test_repeats, 100
number_type, g:0.5
variant, 2
seed, 64817
group_range, Probabilistisch, n=1000, start=1, end=1000000000000000
group_range, Lucas, n=10, start=1, end=1000
group_range, Langsam, n=10, start=1, end=1000
group_range, Proth-Tests, n=10, start=1, end=1000
group_range, Pocklington-Tests, n=10, start=1, end=1000
group_range, Rao, n=10, start=1, end=1000
group_range, Ramzy, n=10, start=1, end=1000
group_range, Fermat-Zahlen, n=10, start=1, end=1000
group_range, Mersenne-Zahlen, n=10, start=1, end=1000

test_avg, Fermat (k = 1), avg_false_positive=0.005, avg_false_negative=0.000, avg_error_rate=0.005, avg_best_time=0.033 ms, avg_avg_time=0.037 ms, avg_worst_time=0.160 ms, avg_std_dev=0.014
test_avg, Miller-Selfridge-Rabin (k = 1), avg_false_positive=0.002, avg_false_negative=0.000, avg_error_rate=0.002, avg_best_time=0.045 ms, avg_avg_time=0.051 ms, avg_worst_time=0.182 ms, avg_std_dev=0.016
test_avg, Solovay-Strassen (k = 1), avg_false_positive=0.002, avg_false_negative=0.000, avg_error_rate=0.002, avg_best_time=0.010 ms, avg_avg_time=0.011 ms, avg_worst_time=0.035 ms, avg_std_dev=0.003

Gruppe,Test,Zahl,Ergebnis,true_prime,is_error,false_positive,false_negative,error_rate,best_time,avg_time,worst_time,std_dev,a_values,other_fields,reason
Probabilistisch,Fermat (k = 1),2,prime,True,False,False,False,0,0.000 ms,0.000 ms,0.002 ms,0.000 ms,"[(2, True, True)]",,
Probabilistisch,Fermat (k = 1),3,prime,True,False,False,False,0,0.032 ms,0.039 ms,0.220 ms,0.023 ms,"[(2, True, True)]",,
Probabilistisch,Fermat (k = 1),5,prime,True,False,False,False,0,0.033 ms,0.044 ms,0.231 ms,0.029 ms,"[(3, True, True)]",,
Probabilistisch,Fermat (k = 1),7,prime,True,False,False,False,0,0.032 ms,0.051 ms,0.282 ms,0.042 ms,"[(6, True, True)]",,
Probabilistisch,Fermat (k = 1),11,prime,True,False,False,False,0,0.032 ms,0.043 ms,0.164 ms,0.022 ms,"[(7, True, True)]",,
Probabilistisch,Fermat (k = 1),13,prime,True,False,False,False,0,0.032 ms,0.038 ms,0.153 ms,0.015 ms,"[(7, True, True)]",,
Probabilistisch,Fermat (k = 1),15,prime,False,True,True,False,1.0,0.032 ms,0.035 ms,0.112 ms,0.008 ms,"[(14, True, True)]",,
Probabilistisch,Fermat (k = 1),17,prime,True,False,False,False,0,0.033 ms,0.037 ms,0.097 ms,0.009 ms,"[(5, True, True)]",,
Probabilistisch,Fermat (k = 1),19,prime,True,False,False,False,0,0.031 ms,0.035 ms,0.113 ms,0.009 ms,"[(18, True, True)]",,
Probabilistisch,Fermat (k = 1),21,composite,False,False,False,False,0,0.032 ms,0.047 ms,0.293 ms,0.037 ms,"[(4, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 1),23,prime,True,False,False,False,0,0.032 ms,0.041 ms,0.363 ms,0.035 ms,"[(2, True, True)]",,
Probabilistisch,Fermat (k = 1),29,prime,True,False,False,False,0,0.032 ms,0.040 ms,0.199 ms,0.023 ms,"[(19, True, True)]",,
Probabilistisch,Fermat (k = 1),31,prime,True,False,False,False,0,0.031 ms,0.041 ms,0.258 ms,0.027 ms,"[(11, True, True)]",,
Probabilistisch,Fermat (k = 1),33,composite,False,False,False,False,0,0.032 ms,0.037 ms,0.113 ms,0.010 ms,"[(20, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 1),35,composite,False,False,False,False,0,0.032 ms,0.036 ms,0.114 ms,0.010 ms,"[(10, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 1),37,prime,True,False,False,False,0,0.032 ms,0.035 ms,0.089 ms,0.006 ms,"[(6, True, True)]",,
Probabilistisch,Fermat (k = 1),39,composite,False,False,False,False,0,0.032 ms,0.039 ms,0.135 ms,0.018 ms,"[(8, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 1),41,prime,True,False,False,False,0,0.031 ms,0.039 ms,0.146 ms,0.019 ms,"[(31, True, True)]",,
Probabilistisch,Fermat (k = 1),43,prime,True,False,False,False,0,0.031 ms,0.034 ms,0.088 ms,0.006 ms,"[(35, True, True)]",,
Probabilistisch,Fermat (k = 1),45,composite,False,False,False,False,0,0.033 ms,0.053 ms,0.274 ms,0.040 ms,"[(11, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 1),47,prime,True,False,False,False,0,0.032 ms,0.062 ms,0.305 ms,0.048 ms,"[(30, True, True)]",,
Probabilistisch,Fermat (k = 1),51,composite,False,False,False,False,0,0.034 ms,0.057 ms,0.404 ms,0.051 ms,"[(31, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 1),53,prime,True,False,False,False,0,0.032 ms,0.036 ms,0.097 ms,0.007 ms,"[(10, True, True)]",,
Probabilistisch,Fermat (k = 1),55,composite,False,False,False,False,0,0.032 ms,0.034 ms,0.081 ms,0.005 ms,"[(53, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 1),57,composite,False,False,False,False,0,0.032 ms,0.034 ms,0.078 ms,0.005 ms,"[(23, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 1),59,prime,True,False,False,False,0,0.032 ms,0.034 ms,0.085 ms,0.005 ms,"[(48, True, True)]",,
Probabilistisch,Fermat (k = 1),61,prime,True,False,False,False,0,0.032 ms,0.034 ms,0.066 ms,0.005 ms,"[(20, True, True)]",,
Probabilistisch,Fermat (k = 1),63,composite,False,False,False,False,0,0.032 ms,0.034 ms,0.068 ms,0.004 ms,"[(17, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 1),65,composite,False,False,False,False,0,0.032 ms,0.051 ms,0.233 ms,0.038 ms,"[(46, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 1),67,prime,True,False,False,False,0,0.031 ms,0.034 ms,0.103 ms,0.007 ms,"[(66, True, True)]",,
Probabilistisch,Fermat (k = 1),69,composite,False,False,False,False,0,0.031 ms,0.034 ms,0.086 ms,0.005 ms,"[(25, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 1),71,prime,True,False,False,False,0,0.032 ms,0.037 ms,0.123 ms,0.011 ms,"[(69, True, True)]",,
Probabilistisch,Fermat (k = 1),73,prime,True,False,False,False,0,0.031 ms,0.038 ms,0.122 ms,0.014 ms,"[(52, True, True)]",,
Probabilistisch,Fermat (k = 1),75,composite,False,False,False,False,0,0.032 ms,0.035 ms,0.097 ms,0.007 ms,"[(67, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 1),77,composite,False,False,False,False,0,0.031 ms,0.034 ms,0.079 ms,0.005 ms,"[(23, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 1),79,prime,True,False,False,False,0,0.032 ms,0.034 ms,0.075 ms,0.004 ms,"[(2, True, True)]",,
Probabilistisch,Fermat (k = 1),83,prime,True,False,False,False,0,0.032 ms,0.034 ms,0.084 ms,0.005 ms,"[(16, True, True)]",,
Probabilistisch,Fermat (k = 1),85,composite,False,False,False,False,0,0.032 ms,0.034 ms,0.072 ms,0.004 ms,"[(2, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 1),87,prime,False,True,True,False,1.0,0.031 ms,0.034 ms,0.082 ms,0.006 ms,"[(28, True, True)]",,
Probabilistisch,Fermat (k = 1),89,prime,True,False,False,False,0,0.031 ms,0.034 ms,0.081 ms,0.005 ms,"[(36, True, True)]",,
Probabilistisch,Fermat (k = 1),91,prime,False,True,True,False,1.0,0.031 ms,0.034 ms,0.083 ms,0.005 ms,"[(82, True, True)]",,
Probabilistisch,Fermat (k = 1),93,composite,False,False,False,False,0,0.031 ms,0.034 ms,0.067 ms,0.004 ms,"[(85, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 1),95,composite,False,False,False,False,0,0.031 ms,0.034 ms,0.078 ms,0.006 ms,"[(40, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 1),97,prime,True,False,False,False,0,0.032 ms,0.034 ms,0.068 ms,0.004 ms,"[(31, True, True)]",,
Probabilistisch,Fermat (k = 1),103,prime,True,False,False,False,0,0.031 ms,0.034 ms,0.064 ms,0.003 ms,"[(13, True, True)]",,
Probabilistisch,Fermat (k = 1),107,prime,True,False,False,False,0,0.031 ms,0.034 ms,0.080 ms,0.005 ms,"[(81, True, True)]",,
Probabilistisch,Fermat (k = 1),109,prime,True,False,False,False,0,0.032 ms,0.034 ms,0.061 ms,0.004 ms,"[(71, True, True)]",,
Probabilistisch,Fermat (k = 1),119,composite,False,False,False,False,0,0.031 ms,0.033 ms,0.073 ms,0.004 ms,"[(108, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 1),131,prime,True,False,False,False,0,0.031 ms,0.035 ms,0.100 ms,0.008 ms,"[(7, True, True)]",,
Probabilistisch,Fermat (k = 1),139,prime,True,False,False,False,0,0.033 ms,0.039 ms,0.107 ms,0.011 ms,"[(86, True, True)]",,
Probabilistisch,Fermat (k = 1),145,composite,False,False,False,False,0,0.032 ms,0.036 ms,0.107 ms,0.008 ms,"[(23, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 1),149,prime,True,False,False,False,0,0.034 ms,0.044 ms,0.184 ms,0.025 ms,"[(103, True, True)]",,
Probabilistisch,Fermat (k = 1),151,prime,True,False,False,False,0,0.032 ms,0.040 ms,0.098 ms,0.011 ms,"[(8, True, True)]",,
Probabilistisch,Fermat (k = 1),155,composite,False,False,False,False,0,0.032 ms,0.040 ms,0.105 ms,0.013 ms,"[(151, True, False)]",,a^{n-1} ≠ 1
