n_numbers, 1000
start, 1
end, 1000000000000000
test_repeats, 100
number_type, g:0.5
variant, 2
seed, 19475
group_range, Probabilistisch, n=1000, start=1, end=1000000000000000
group_range, Lucas, n=10, start=1, end=1000
group_range, Langsam, n=10, start=1, end=1000
group_range, Proth-Tests, n=10, start=1, end=1000
group_range, Pocklington-Tests, n=10, start=1, end=1000
group_range, Rao, n=10, start=1, end=1000
group_range, Ramzy, n=10, start=1, end=1000
group_range, Fermat-Zahlen, n=10, start=1, end=1000
group_range, Mersenne-Zahlen, n=10, start=1, end=1000

test_avg, Fermat (k = 3), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.200 ms, avg_avg_time=0.308 ms, avg_worst_time=1.286 ms, avg_std_dev=0.157
test_avg, Miller-Selfridge-Rabin (k = 3), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.271 ms, avg_avg_time=0.412 ms, avg_worst_time=1.710 ms, avg_std_dev=0.215
test_avg, Solovay-Strassen (k = 3), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.058 ms, avg_avg_time=0.080 ms, avg_worst_time=0.490 ms, avg_std_dev=0.055

Gruppe,Test,Zahl,Ergebnis,true_prime,is_error,false_positive,false_negative,error_rate,best_time,avg_time,worst_time,std_dev,a_values,other_fields,reason
Probabilistisch,Fermat (k = 3),2,prime,True,False,False,False,0,0.001 ms,0.001 ms,0.013 ms,0.002 ms,"[(2, True, True)]",,
Probabilistisch,Fermat (k = 3),3,prime,True,False,False,False,0,0.319 ms,1.222 ms,10.342 ms,1.412 ms,"[(2, True, True), (2, True, True), (2, True, True)]",,
Probabilistisch,Fermat (k = 3),5,prime,True,False,False,False,0,0.278 ms,1.038 ms,15.919 ms,1.626 ms,"[(2, True, True), (4, True, True), (4, True, True)]",,
Probabilistisch,Fermat (k = 3),7,prime,True,False,False,False,0,0.276 ms,0.657 ms,5.606 ms,0.557 ms,"[(5, True, True), (6, True, True), (5, True, True)]",,
Probabilistisch,Fermat (k = 3),11,prime,True,False,False,False,0,0.251 ms,0.338 ms,0.971 ms,0.133 ms,"[(10, True, True), (10, True, True), (6, True, True)]",,
Probabilistisch,Fermat (k = 3),13,prime,True,False,False,False,0,0.294 ms,0.562 ms,1.004 ms,0.130 ms,"[(6, True, True), (9, True, True), (9, True, True)]",,
Probabilistisch,Fermat (k = 3),15,composite,False,False,False,False,0,0.089 ms,0.148 ms,0.297 ms,0.056 ms,"[(10, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),17,prime,True,False,False,False,0,0.255 ms,0.429 ms,0.877 ms,0.171 ms,"[(8, True, True), (9, True, True), (13, True, True)]",,
Probabilistisch,Fermat (k = 3),19,prime,True,False,False,False,0,0.253 ms,0.447 ms,0.726 ms,0.177 ms,"[(15, True, True), (7, True, True), (7, True, True)]",,
Probabilistisch,Fermat (k = 3),21,composite,False,False,False,False,0,0.089 ms,0.107 ms,0.226 ms,0.024 ms,"[(2, True, False)]",,a^{n-1} ≠ 1
