n_numbers, 1000
start, 1
end, 1000000000000000
test_repeats, 100
number_type, g:0.5
variant, 2
seed, 22026
group_range, Probabilistisch, n=1000, start=1, end=1000000000000000
group_range, Lucas, n=10, start=1, end=1000
group_range, Langsam, n=10, start=1, end=1000
group_range, Proth-Tests, n=10, start=1, end=1000
group_range, Pocklington-Tests, n=10, start=1, end=1000
group_range, Rao, n=10, start=1, end=1000
group_range, Ramzy, n=10, start=1, end=1000
group_range, Fermat-Zahlen, n=10, start=1, end=1000
group_range, Mersenne-Zahlen, n=10, start=1, end=1000

test_avg, Fermat (k = 3), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.187 ms, avg_avg_time=0.268 ms, avg_worst_time=1.287 ms, avg_std_dev=0.149
test_avg, Miller-Selfridge-Rabin (k = 3), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.223 ms, avg_avg_time=0.275 ms, avg_worst_time=0.765 ms, avg_std_dev=0.088
test_avg, Solovay-Strassen (k = 3), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.051 ms, avg_avg_time=0.061 ms, avg_worst_time=0.214 ms, avg_std_dev=0.023

Gruppe,Test,Zahl,Ergebnis,true_prime,is_error,false_positive,false_negative,error_rate,best_time,avg_time,worst_time,std_dev,a_values,other_fields,reason
Probabilistisch,Fermat (k = 3),2,prime,True,False,False,False,0,0.001 ms,0.001 ms,0.008 ms,0.001 ms,"[(2, True, True)]",,
Probabilistisch,Fermat (k = 3),3,prime,True,False,False,False,0,0.236 ms,0.572 ms,1.860 ms,0.301 ms,"[(2, True, True), (2, True, True), (2, True, True)]",,
Probabilistisch,Fermat (k = 3),5,prime,True,False,False,False,0,0.264 ms,0.348 ms,1.274 ms,0.187 ms,"[(4, True, True), (4, True, True), (4, True, True)]",,
Probabilistisch,Fermat (k = 3),7,prime,True,False,False,False,0,0.251 ms,0.322 ms,0.796 ms,0.115 ms,"[(3, True, True), (2, True, True), (3, True, True)]",,
Probabilistisch,Fermat (k = 3),11,prime,True,False,False,False,0,0.298 ms,0.339 ms,0.753 ms,0.083 ms,"[(9, True, True), (2, True, True), (9, True, True)]",,
Probabilistisch,Fermat (k = 3),13,prime,True,False,False,False,0,0.299 ms,0.369 ms,1.397 ms,0.169 ms,"[(9, True, True), (6, True, True), (8, True, True)]",,
Probabilistisch,Fermat (k = 3),15,composite,False,False,False,False,0,0.147 ms,0.203 ms,0.478 ms,0.059 ms,"[(14, True, True), (12, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),17,prime,True,False,False,False,0,0.199 ms,0.269 ms,0.767 ms,0.098 ms,"[(2, True, True), (9, True, True), (15, True, True)]",,
Probabilistisch,Fermat (k = 3),19,prime,True,False,False,False,0,0.205 ms,0.290 ms,0.977 ms,0.124 ms,"[(18, True, True), (2, True, True), (8, True, True)]",,
Probabilistisch,Fermat (k = 3),21,composite,False,False,False,False,0,0.083 ms,0.113 ms,0.371 ms,0.040 ms,"[(3, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),23,prime,True,False,False,False,0,0.255 ms,0.907 ms,7.233 ms,1.026 ms,"[(8, True, True), (6, True, True), (11, True, True)]",,
Probabilistisch,Fermat (k = 3),29,prime,True,False,False,False,0,0.359 ms,0.776 ms,2.822 ms,0.357 ms,"[(8, True, True), (7, True, True), (7, True, True)]",,
Probabilistisch,Fermat (k = 3),31,prime,True,False,False,False,0,0.278 ms,0.654 ms,2.718 ms,0.371 ms,"[(17, True, True), (13, True, True), (23, True, True)]",,
Probabilistisch,Fermat (k = 3),33,composite,False,False,False,False,0,0.087 ms,0.117 ms,0.301 ms,0.041 ms,"[(7, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),35,composite,False,False,False,False,0,0.096 ms,0.187 ms,0.914 ms,0.141 ms,"[(18, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),37,prime,True,False,False,False,0,0.270 ms,0.610 ms,1.649 ms,0.258 ms,"[(35, True, True), (17, True, True), (20, True, True)]",,
Probabilistisch,Fermat (k = 3),39,composite,False,False,False,False,0,0.090 ms,0.133 ms,0.860 ms,0.098 ms,"[(4, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),41,prime,True,False,False,False,0,0.266 ms,0.679 ms,6.076 ms,0.693 ms,"[(19, True, True), (6, True, True), (20, True, True)]",,
Probabilistisch,Fermat (k = 3),43,prime,True,False,False,False,0,0.270 ms,0.718 ms,3.813 ms,0.594 ms,"[(25, True, True), (24, True, True), (34, True, True)]",,
Probabilistisch,Fermat (k = 3),45,composite,False,False,False,False,0,0.092 ms,0.157 ms,1.157 ms,0.176 ms,"[(31, True, False)]",,a^{n-1} ≠ 1
