n_numbers, 1000
start, 1
end, 1000000000000000
test_repeats, 100
number_type, g:0.5
variant, 2
seed, 58345
group_range, Probabilistisch, n=1000, start=1, end=1000000000000000
group_range, Lucas, n=10, start=1, end=1000
group_range, Langsam, n=10, start=1, end=1000
group_range, Proth-Tests, n=10, start=1, end=1000
group_range, Pocklington-Tests, n=10, start=1, end=1000
group_range, Rao, n=10, start=1, end=1000
group_range, Ramzy, n=10, start=1, end=1000
group_range, Fermat-Zahlen, n=10, start=1, end=1000
group_range, Mersenne-Zahlen, n=10, start=1, end=1000

test_avg, Fermat (k = 3), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.067 ms, avg_avg_time=0.076 ms, avg_worst_time=0.289 ms, avg_std_dev=0.026
test_avg, Miller-Selfridge-Rabin (k = 3), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.083 ms, avg_avg_time=0.092 ms, avg_worst_time=0.300 ms, avg_std_dev=0.025
test_avg, Solovay-Strassen (k = 3), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.020 ms, avg_avg_time=0.022 ms, avg_worst_time=0.064 ms, avg_std_dev=0.005

Gruppe,Test,Zahl,Ergebnis,true_prime,is_error,false_positive,false_negative,error_rate,best_time,avg_time,worst_time,std_dev,a_values,other_fields,reason
Probabilistisch,Fermat (k = 3),2,prime,True,False,False,False,0,0.000 ms,0.000 ms,0.003 ms,0.000 ms,"[(2, True, True)]",,
Probabilistisch,Fermat (k = 3),3,prime,True,False,False,False,0,0.099 ms,0.109 ms,0.328 ms,0.032 ms,"[(2, True, True), (2, True, True), (2, True, True)]",,
Probabilistisch,Fermat (k = 3),5,prime,True,False,False,False,0,0.100 ms,0.109 ms,0.197 ms,0.015 ms,"[(4, True, True), (2, True, True), (3, True, True)]",,
Probabilistisch,Fermat (k = 3),7,prime,True,False,False,False,0,0.096 ms,0.107 ms,0.221 ms,0.019 ms,"[(3, True, True), (2, True, True), (6, True, True)]",,
Probabilistisch,Fermat (k = 3),11,prime,True,False,False,False,0,0.096 ms,0.107 ms,0.191 ms,0.019 ms,"[(2, True, True), (7, True, True), (7, True, True)]",,
Probabilistisch,Fermat (k = 3),13,prime,True,False,False,False,0,0.096 ms,0.104 ms,0.238 ms,0.019 ms,"[(9, True, True), (8, True, True), (9, True, True)]",,
Probabilistisch,Fermat (k = 3),15,composite,False,False,False,False,0,0.065 ms,0.073 ms,0.142 ms,0.014 ms,"[(14, True, True), (6, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),17,prime,True,False,False,False,0,0.096 ms,0.102 ms,0.162 ms,0.010 ms,"[(2, True, True), (13, True, True), (7, True, True)]",,
Probabilistisch,Fermat (k = 3),19,prime,True,False,False,False,0,0.098 ms,0.108 ms,0.369 ms,0.030 ms,"[(12, True, True), (4, True, True), (6, True, True)]",,
Probabilistisch,Fermat (k = 3),21,composite,False,False,False,False,0,0.031 ms,0.055 ms,0.712 ms,0.095 ms,"[(18, False, None)]",,ggT ≠ 1
