n_numbers, 1000
start, 1
end, 1000000000000000
test_repeats, 100
number_type, g:0.5
variant, 2
seed, 37153
group_range, Probabilistisch, n=1000, start=1, end=1000000000000000
group_range, Lucas, n=10, start=1, end=1000
group_range, Langsam, n=10, start=1, end=1000
group_range, Proth-Tests, n=10, start=1, end=1000
group_range, Pocklington-Tests, n=10, start=1, end=1000
group_range, Rao, n=10, start=1, end=1000
group_range, Ramzy, n=10, start=1, end=1000
group_range, Fermat-Zahlen, n=10, start=1, end=1000
group_range, Mersenne-Zahlen, n=10, start=1, end=1000

test_avg, Fermat (k = 2), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.049 ms, avg_avg_time=0.055 ms, avg_worst_time=0.269 ms, avg_std_dev=0.024
test_avg, Miller-Selfridge-Rabin (k = 2), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.063 ms, avg_avg_time=0.070 ms, avg_worst_time=0.236 ms, avg_std_dev=0.020
test_avg, Solovay-Strassen (k = 2), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.016 ms, avg_avg_time=0.017 ms, avg_worst_time=0.049 ms, avg_std_dev=0.004

Gruppe,Test,Zahl,Ergebnis,true_prime,is_error,false_positive,false_negative,error_rate,best_time,avg_time,worst_time,std_dev,a_values,other_fields,reason
Probabilistisch,Fermat (k = 2),2,prime,True,False,False,False,0,0.000 ms,0.000 ms,0.003 ms,0.000 ms,"[(2, True, True)]",,
Probabilistisch,Fermat (k = 2),3,prime,True,False,False,False,0,0.064 ms,0.073 ms,0.271 ms,0.026 ms,"[(2, True, True), (2, True, True)]",,
Probabilistisch,Fermat (k = 2),5,prime,True,False,False,False,0,0.064 ms,0.073 ms,0.255 ms,0.022 ms,"[(2, True, True), (4, True, True)]",,
Probabilistisch,Fermat (k = 2),7,prime,True,False,False,False,0,0.064 ms,0.072 ms,0.217 ms,0.020 ms,"[(5, True, True), (3, True, True)]",,
Probabilistisch,Fermat (k = 2),11,prime,True,False,False,False,0,0.062 ms,0.066 ms,0.152 ms,0.009 ms,"[(8, True, True), (6, True, True)]",,
Probabilistisch,Fermat (k = 2),13,prime,True,False,False,False,0,0.064 ms,0.076 ms,0.280 ms,0.031 ms,"[(11, True, True), (4, True, True)]",,
Probabilistisch,Fermat (k = 2),15,composite,False,False,False,False,0,0.031 ms,0.037 ms,0.121 ms,0.012 ms,"[(7, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 2),17,prime,True,False,False,False,0,0.063 ms,0.069 ms,0.143 ms,0.013 ms,"[(10, True, True), (6, True, True)]",,
Probabilistisch,Fermat (k = 2),19,prime,True,False,False,False,0,0.063 ms,0.068 ms,0.139 ms,0.010 ms,"[(17, True, True), (16, True, True)]",,
Probabilistisch,Fermat (k = 2),21,composite,False,False,False,False,0,0.031 ms,0.034 ms,0.112 ms,0.010 ms,"[(12, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 2),23,prime,True,False,False,False,0,0.062 ms,0.070 ms,0.167 ms,0.014 ms,"[(4, True, True), (6, True, True)]",,
Probabilistisch,Fermat (k = 2),29,prime,True,False,False,False,0,0.063 ms,0.081 ms,0.774 ms,0.077 ms,"[(23, True, True), (21, True, True)]",,
Probabilistisch,Fermat (k = 2),31,prime,True,False,False,False,0,0.063 ms,0.076 ms,0.232 ms,0.031 ms,"[(27, True, True), (4, True, True)]",,
Probabilistisch,Fermat (k = 2),33,composite,False,False,False,False,0,0.031 ms,0.033 ms,0.077 ms,0.005 ms,"[(13, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 2),35,composite,False,False,False,False,0,0.031 ms,0.035 ms,0.083 ms,0.007 ms,"[(14, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 2),37,prime,True,False,False,False,0,0.063 ms,0.072 ms,0.227 ms,0.024 ms,"[(2, True, True), (7, True, True)]",,
Probabilistisch,Fermat (k = 2),39,composite,False,False,False,False,0,0.031 ms,0.034 ms,0.099 ms,0.007 ms,"[(20, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 2),41,prime,True,False,False,False,0,0.064 ms,0.069 ms,0.168 ms,0.012 ms,"[(21, True, True), (38, True, True)]",,
