n_numbers, 1000
start, 1
end, 1000000000000000
test_repeats, 100
number_type, g:0.5
variant, 2
seed, 92472
group_range, Probabilistisch, n=1000, start=1, end=1000000000000000
group_range, Lucas, n=10, start=1, end=1000
group_range, Langsam, n=10, start=1, end=1000
group_range, Proth-Tests, n=10, start=1, end=1000
group_range, Pocklington-Tests, n=10, start=1, end=1000
group_range, Rao, n=10, start=1, end=1000
group_range, Ramzy, n=10, start=1, end=1000
group_range, Fermat-Zahlen, n=10, start=1, end=1000
group_range, Mersenne-Zahlen, n=10, start=1, end=1000

test_avg, Fermat (k = 2), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.050 ms, avg_avg_time=0.056 ms, avg_worst_time=0.204 ms, avg_std_dev=0.017
test_avg, Miller-Selfridge-Rabin (k = 2), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.064 ms, avg_avg_time=0.071 ms, avg_worst_time=0.220 ms, avg_std_dev=0.018
test_avg, Solovay-Strassen (k = 2), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.015 ms, avg_avg_time=0.016 ms, avg_worst_time=0.046 ms, avg_std_dev=0.003

Gruppe,Test,Zahl,Ergebnis,true_prime,is_error,false_positive,false_negative,error_rate,best_time,avg_time,worst_time,std_dev,a_values,other_fields,reason
Probabilistisch,Fermat (k = 2),2,prime,True,False,False,False,0,0.000 ms,0.000 ms,0.003 ms,0.000 ms,"[(2, True, True)]",,
Probabilistisch,Fermat (k = 2),3,prime,True,False,False,False,0,0.061 ms,0.067 ms,0.273 ms,0.021 ms,"[(2, True, True), (2, True, True)]",,
Probabilistisch,Fermat (k = 2),5,prime,True,False,False,False,0,0.061 ms,0.080 ms,0.332 ms,0.035 ms,"[(2, True, True), (2, True, True)]",,
Probabilistisch,Fermat (k = 2),7,prime,True,False,False,False,0,0.062 ms,0.077 ms,0.231 ms,0.026 ms,"[(5, True, True), (3, True, True)]",,
Probabilistisch,Fermat (k = 2),11,prime,True,False,False,False,0,0.062 ms,0.083 ms,0.510 ms,0.060 ms,"[(9, True, True), (2, True, True)]",,
Probabilistisch,Fermat (k = 2),13,prime,True,False,False,False,0,0.063 ms,0.070 ms,0.168 ms,0.013 ms,"[(7, True, True), (5, True, True)]",,
Probabilistisch,Fermat (k = 2),15,composite,False,False,False,False,0,0.031 ms,0.038 ms,0.215 ms,0.021 ms,"[(2, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 2),17,prime,True,False,False,False,0,0.065 ms,0.072 ms,0.156 ms,0.015 ms,"[(4, True, True), (9, True, True)]",,
Probabilistisch,Fermat (k = 2),19,prime,True,False,False,False,0,0.064 ms,0.069 ms,0.123 ms,0.010 ms,"[(4, True, True), (9, True, True)]",,
Probabilistisch,Fermat (k = 2),21,composite,False,False,False,False,0,0.031 ms,0.034 ms,0.082 ms,0.006 ms,"[(3, False, None)]",,ggT ≠ 1
