n_numbers, 1000
start, 1
end, 1000000000000000
test_repeats, 100
number_type, g:0.5
variant, 2
seed, 87405
group_range, Probabilistisch, n=1000, start=1, end=1000000000000000
group_range, Lucas, n=10, start=1, end=1000
group_range, Langsam, n=10, start=1, end=1000
group_range, Proth-Tests, n=10, start=1, end=1000
group_range, Pocklington-Tests, n=10, start=1, end=1000
group_range, Rao, n=10, start=1, end=1000
group_range, Ramzy, n=10, start=1, end=1000
group_range, Fermat-Zahlen, n=10, start=1, end=1000
group_range, Mersenne-Zahlen, n=10, start=1, end=1000

test_avg, Fermat (k = 2), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.150 ms, avg_avg_time=0.234 ms, avg_worst_time=1.307 ms, avg_std_dev=0.157
test_avg, Miller-Selfridge-Rabin (k = 2), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.142 ms, avg_avg_time=0.193 ms, avg_worst_time=0.746 ms, avg_std_dev=0.088
test_avg, Solovay-Strassen (k = 2), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.038 ms, avg_avg_time=0.055 ms, avg_worst_time=0.284 ms, avg_std_dev=0.032

Gruppe,Test,Zahl,Ergebnis,true_prime,is_error,false_positive,false_negative,error_rate,best_time,avg_time,worst_time,std_dev,a_values,other_fields,reason
Probabilistisch,Fermat (k = 2),2,prime,True,False,False,False,0,0.001 ms,0.002 ms,0.011 ms,0.001 ms,"[(2, True, True)]",,
Probabilistisch,Fermat (k = 2),3,prime,True,False,False,False,0,0.169 ms,0.361 ms,2.248 ms,0.301 ms,"[(2, True, True), (2, True, True)]",,
Probabilistisch,Fermat (k = 2),5,prime,True,False,False,False,0,0.208 ms,0.305 ms,1.527 ms,0.195 ms,"[(2, True, True), (2, True, True)]",,
Probabilistisch,Fermat (k = 2),7,prime,True,False,False,False,0,0.168 ms,0.243 ms,0.576 ms,0.095 ms,"[(3, True, True), (3, True, True)]",,
Probabilistisch,Fermat (k = 2),11,prime,True,False,False,False,0,0.198 ms,0.232 ms,0.625 ms,0.077 ms,"[(10, True, True), (5, True, True)]",,
Probabilistisch,Fermat (k = 2),13,prime,True,False,False,False,0,0.198 ms,0.240 ms,0.736 ms,0.084 ms,"[(11, True, True), (6, True, True)]",,
Probabilistisch,Fermat (k = 2),15,composite,False,False,False,False,0,0.100 ms,0.112 ms,0.322 ms,0.034 ms,"[(8, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 2),17,prime,True,False,False,False,0,0.197 ms,0.233 ms,0.682 ms,0.078 ms,"[(11, True, True), (13, True, True)]",,
Probabilistisch,Fermat (k = 2),19,prime,True,False,False,False,0,0.199 ms,0.224 ms,0.455 ms,0.044 ms,"[(8, True, True), (4, True, True)]",,
Probabilistisch,Fermat (k = 2),21,composite,False,False,False,False,0,0.100 ms,0.116 ms,0.490 ms,0.048 ms,"[(17, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 2),23,prime,True,False,False,False,0,0.196 ms,0.218 ms,0.612 ms,0.055 ms,"[(8, True, True), (21, True, True)]",,
Probabilistisch,Fermat (k = 2),29,prime,True,False,False,False,0,0.195 ms,0.216 ms,0.458 ms,0.051 ms,"[(24, True, True), (17, True, True)]",,
Probabilistisch,Fermat (k = 2),31,prime,True,False,False,False,0,0.198 ms,0.218 ms,0.413 ms,0.039 ms,"[(23, True, True), (29, True, True)]",,
Probabilistisch,Fermat (k = 2),33,composite,False,False,False,False,0,0.099 ms,0.110 ms,0.267 ms,0.029 ms,"[(30, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 2),35,composite,False,False,False,False,0,0.100 ms,0.106 ms,0.270 ms,0.017 ms,"[(26, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 2),37,prime,True,False,False,False,0,0.141 ms,0.195 ms,0.616 ms,0.073 ms,"[(6, True, True), (17, True, True)]",,
Probabilistisch,Fermat (k = 2),39,composite,False,False,False,False,0,0.068 ms,0.100 ms,0.261 ms,0.043 ms,"[(12, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 2),41,prime,True,False,False,False,0,0.162 ms,0.188 ms,0.399 ms,0.046 ms,"[(21, True, True), (38, True, True)]",,
Probabilistisch,Fermat (k = 2),43,prime,True,False,False,False,0,0.129 ms,0.165 ms,0.455 ms,0.056 ms,"[(39, True, True), (15, True, True)]",,
Probabilistisch,Fermat (k = 2),45,composite,False,False,False,False,0,0.127 ms,0.167 ms,0.401 ms,0.044 ms,"[(44, True, True), (10, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 2),47,prime,True,False,False,False,0,0.129 ms,0.193 ms,0.504 ms,0.069 ms,"[(3, True, True), (35, True, True)]",,
Probabilistisch,Fermat (k = 2),51,composite,False,False,False,False,0,0.070 ms,0.105 ms,0.251 ms,0.037 ms,"[(46, True, False)]",,a^{n-1} ≠ 1
