n_numbers, 1000
start, 1
end, 1000000000000000
test_repeats, 100
number_type, g:0.5
variant, 2
seed, 91229
group_range, Probabilistisch, n=1000, start=1, end=1000000000000000
group_range, Lucas, n=10, start=1, end=1000
group_range, Langsam, n=10, start=1, end=1000
group_range, Proth-Tests, n=10, start=1, end=1000
group_range, Pocklington-Tests, n=10, start=1, end=1000
group_range, Rao, n=10, start=1, end=1000
group_range, Ramzy, n=10, start=1, end=1000
group_range, Fermat-Zahlen, n=10, start=1, end=1000
group_range, Mersenne-Zahlen, n=10, start=1, end=1000

test_avg, Fermat (k = 1), avg_false_positive=0.005, avg_false_negative=0.000, avg_error_rate=0.005, avg_best_time=0.076 ms, avg_avg_time=0.085 ms, avg_worst_time=0.238 ms, avg_std_dev=0.021
test_avg, Miller-Selfridge-Rabin (k = 1), avg_false_positive=0.004, avg_false_negative=0.000, avg_error_rate=0.004, avg_best_time=0.099 ms, avg_avg_time=0.111 ms, avg_worst_time=0.275 ms, avg_std_dev=0.025
test_avg, Solovay-Strassen (k = 1), avg_false_positive=0.001, avg_false_negative=0.000, avg_error_rate=0.001, avg_best_time=0.019 ms, avg_avg_time=0.020 ms, avg_worst_time=0.042 ms, avg_std_dev=0.003

Gruppe,Test,Zahl,Ergebnis,true_prime,is_error,false_positive,false_negative,error_rate,best_time,avg_time,worst_time,std_dev,a_values,other_fields,reason
Probabilistisch,Fermat (k = 1),2,prime,True,False,False,False,0,0.001 ms,0.002 ms,0.051 ms,0.005 ms,"[(2, True, True)]",,
Probabilistisch,Fermat (k = 1),3,prime,True,False,False,False,0,0.091 ms,0.209 ms,0.745 ms,0.120 ms,"[(2, True, True)]",,
Probabilistisch,Fermat (k = 1),5,prime,True,False,False,False,0,0.074 ms,0.125 ms,0.367 ms,0.060 ms,"[(3, True, True)]",,
Probabilistisch,Fermat (k = 1),7,prime,True,False,False,False,0,0.076 ms,0.118 ms,0.548 ms,0.065 ms,"[(5, True, True)]",,
Probabilistisch,Fermat (k = 1),11,prime,True,False,False,False,0,0.076 ms,0.094 ms,0.463 ms,0.047 ms,"[(7, True, True)]",,
Probabilistisch,Fermat (k = 1),13,prime,True,False,False,False,0,0.070 ms,0.092 ms,0.170 ms,0.026 ms,"[(3, True, True)]",,
Probabilistisch,Fermat (k = 1),15,composite,False,False,False,False,0,0.069 ms,0.074 ms,0.166 ms,0.010 ms,"[(13, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 1),17,prime,True,False,False,False,0,0.064 ms,0.086 ms,0.252 ms,0.029 ms,"[(16, True, True)]",,
Probabilistisch,Fermat (k = 1),19,prime,True,False,False,False,0,0.064 ms,0.070 ms,0.164 ms,0.010 ms,"[(7, True, True)]",,
Probabilistisch,Fermat (k = 1),21,prime,False,True,True,False,1.0,0.064 ms,0.089 ms,0.303 ms,0.044 ms,"[(20, True, True)]",,
