n_numbers, 1000
start, 1
end, 1000000000000000
test_repeats, 100
number_type, g:0.5
variant, 2
seed, 37153
group_range, Probabilistisch, n=1000, start=1, end=1000000000000000
group_range, Lucas, n=10, start=1, end=1000
group_range, Langsam, n=10, start=1, end=1000
group_range, Proth-Tests, n=10, start=1, end=1000
group_range, Pocklington-Tests, n=10, start=1, end=1000
group_range, Rao, n=10, start=1, end=1000
group_range, Ramzy, n=10, start=1, end=1000
group_range, Fermat-Zahlen, n=10, start=1, end=1000
group_range, Mersenne-Zahlen, n=10, start=1, end=1000

test_avg, Fermat (k = 1), avg_false_positive=0.001, avg_false_negative=0.000, avg_error_rate=0.001, avg_best_time=0.032 ms, avg_avg_time=0.037 ms, avg_worst_time=0.163 ms, avg_std_dev=0.014
test_avg, Miller-Selfridge-Rabin (k = 1), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.046 ms, avg_avg_time=0.051 ms, avg_worst_time=0.171 ms, avg_std_dev=0.014
test_avg, Solovay-Strassen (k = 1), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.010 ms, avg_avg_time=0.011 ms, avg_worst_time=0.029 ms, avg_std_dev=0.002

Gruppe,Test,Zahl,Ergebnis,true_prime,is_error,false_positive,false_negative,error_rate,best_time,avg_time,worst_time,std_dev,a_values,other_fields,reason
Probabilistisch,Fermat (k = 1),2,prime,True,False,False,False,0,0.000 ms,0.000 ms,0.003 ms,0.000 ms,"[(2, True, True)]",,
Probabilistisch,Fermat (k = 1),3,prime,True,False,False,False,0,0.032 ms,0.037 ms,0.211 ms,0.018 ms,"[(2, True, True)]",,
Probabilistisch,Fermat (k = 1),5,prime,True,False,False,False,0,0.031 ms,0.034 ms,0.079 ms,0.005 ms,"[(2, True, True)]",,
Probabilistisch,Fermat (k = 1),7,prime,True,False,False,False,0,0.031 ms,0.034 ms,0.064 ms,0.003 ms,"[(5, True, True)]",,
Probabilistisch,Fermat (k = 1),11,prime,True,False,False,False,0,0.032 ms,0.035 ms,0.093 ms,0.008 ms,"[(8, True, True)]",,
Probabilistisch,Fermat (k = 1),13,prime,True,False,False,False,0,0.032 ms,0.038 ms,0.103 ms,0.012 ms,"[(11, True, True)]",,
Probabilistisch,Fermat (k = 1),15,composite,False,False,False,False,0,0.031 ms,0.035 ms,0.081 ms,0.005 ms,"[(7, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 1),17,prime,True,False,False,False,0,0.032 ms,0.036 ms,0.090 ms,0.006 ms,"[(10, True, True)]",,
Probabilistisch,Fermat (k = 1),19,prime,True,False,False,False,0,0.033 ms,0.036 ms,0.081 ms,0.009 ms,"[(17, True, True)]",,
Probabilistisch,Fermat (k = 1),21,composite,False,False,False,False,0,0.032 ms,0.043 ms,0.256 ms,0.030 ms,"[(12, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 1),23,prime,True,False,False,False,0,0.032 ms,0.040 ms,0.231 ms,0.026 ms,"[(4, True, True)]",,
Probabilistisch,Fermat (k = 1),29,prime,True,False,False,False,0,0.031 ms,0.034 ms,0.085 ms,0.007 ms,"[(23, True, True)]",,
Probabilistisch,Fermat (k = 1),31,prime,True,False,False,False,0,0.032 ms,0.038 ms,0.173 ms,0.015 ms,"[(27, True, True)]",,
Probabilistisch,Fermat (k = 1),33,composite,False,False,False,False,0,0.032 ms,0.036 ms,0.093 ms,0.009 ms,"[(13, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 1),35,composite,False,False,False,False,0,0.031 ms,0.034 ms,0.090 ms,0.006 ms,"[(14, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 1),37,prime,True,False,False,False,0,0.033 ms,0.036 ms,0.100 ms,0.009 ms,"[(2, True, True)]",,
Probabilistisch,Fermat (k = 1),39,composite,False,False,False,False,0,0.032 ms,0.038 ms,0.107 ms,0.012 ms,"[(20, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 1),41,prime,True,False,False,False,0,0.032 ms,0.034 ms,0.075 ms,0.004 ms,"[(21, True, True)]",,
Probabilistisch,Fermat (k = 1),43,prime,True,False,False,False,0,0.032 ms,0.036 ms,0.114 ms,0.010 ms,"[(13, True, True)]",,
Probabilistisch,Fermat (k = 1),45,composite,False,False,False,False,0,0.032 ms,0.035 ms,0.074 ms,0.005 ms,"[(43, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 1),47,prime,True,False,False,False,0,0.031 ms,0.060 ms,1.114 ms,0.120 ms,"[(36, True, True)]",,
Probabilistisch,Fermat (k = 1),51,composite,False,False,False,False,0,0.033 ms,0.043 ms,0.331 ms,0.038 ms,"[(11, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 1),53,prime,True,False,False,False,0,0.031 ms,0.036 ms,0.186 ms,0.016 ms,"[(8, True, True)]",,
Probabilistisch,Fermat (k = 1),55,composite,False,False,False,False,0,0.032 ms,0.036 ms,0.089 ms,0.007 ms,"[(46, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 1),57,composite,False,False,False,False,0,0.033 ms,0.038 ms,0.095 ms,0.010 ms,"[(44, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 1),59,prime,True,False,False,False,0,0.032 ms,0.038 ms,0.177 ms,0.016 ms,"[(54, True, True)]",,
Probabilistisch,Fermat (k = 1),61,prime,True,False,False,False,0,0.031 ms,0.035 ms,0.101 ms,0.007 ms,"[(9, True, True)]",,
Probabilistisch,Fermat (k = 1),63,composite,False,False,False,False,0,0.031 ms,0.037 ms,0.112 ms,0.011 ms,"[(3, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 1),65,prime,False,True,True,False,1.0,0.032 ms,0.035 ms,0.092 ms,0.007 ms,"[(64, True, True)]",,
Probabilistisch,Fermat (k = 1),67,prime,True,False,False,False,0,0.031 ms,0.034 ms,0.086 ms,0.005 ms,"[(27, True, True)]",,
Probabilistisch,Fermat (k = 1),69,composite,False,False,False,False,0,0.032 ms,0.044 ms,0.262 ms,0.034 ms,"[(54, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 1),71,prime,True,False,False,False,0,0.032 ms,0.038 ms,0.132 ms,0.013 ms,"[(3, True, True)]",,
