n_numbers, 1000
start, 1
end, 1000000000000000
test_repeats, 100
number_type, g:0.5
variant, 2
seed, 91229
group_range, Probabilistisch, n=1000, start=1, end=1000000000000000
group_range, Lucas, n=10, start=1, end=1000
group_range, Langsam, n=10, start=1, end=1000
group_range, Proth-Tests, n=10, start=1, end=1000
group_range, Pocklington-Tests, n=10, start=1, end=1000
group_range, Rao, n=10, start=1, end=1000
group_range, Ramzy, n=10, start=1, end=1000
group_range, Fermat-Zahlen, n=10, start=1, end=1000
group_range, Mersenne-Zahlen, n=10, start=1, end=1000

test_avg, Fermat (k = 2), avg_false_positive=0.001, avg_false_negative=0.000, avg_error_rate=0.001, avg_best_time=0.110 ms, avg_avg_time=0.123 ms, avg_worst_time=0.304 ms, avg_std_dev=0.027
test_avg, Miller-Selfridge-Rabin (k = 2), avg_false_positive=0.001, avg_false_negative=0.000, avg_error_rate=0.001, avg_best_time=0.139 ms, avg_avg_time=0.170 ms, avg_worst_time=0.591 ms, avg_std_dev=0.063
test_avg, Solovay-Strassen (k = 2), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.030 ms, avg_avg_time=0.036 ms, avg_worst_time=0.108 ms, avg_std_dev=0.011

Gruppe,Test,Zahl,Ergebnis,true_prime,is_error,false_positive,false_negative,error_rate,best_time,avg_time,worst_time,std_dev,a_values,other_fields,reason
Probabilistisch,Fermat (k = 2),2,prime,True,False,False,False,0,0.001 ms,0.001 ms,0.009 ms,0.001 ms,"[(2, True, True)]",,
Probabilistisch,Fermat (k = 2),3,prime,True,False,False,False,0,0.158 ms,0.374 ms,1.073 ms,0.162 ms,"[(2, True, True), (2, True, True)]",,
Probabilistisch,Fermat (k = 2),5,prime,True,False,False,False,0,0.176 ms,0.273 ms,0.772 ms,0.125 ms,"[(3, True, True), (3, True, True)]",,
Probabilistisch,Fermat (k = 2),7,prime,True,False,False,False,0,0.152 ms,0.188 ms,0.420 ms,0.055 ms,"[(5, True, True), (3, True, True)]",,
Probabilistisch,Fermat (k = 2),11,prime,True,False,False,False,0,0.134 ms,0.177 ms,0.556 ms,0.067 ms,"[(7, True, True), (3, True, True)]",,
Probabilistisch,Fermat (k = 2),13,prime,True,False,False,False,0,0.157 ms,0.191 ms,0.427 ms,0.062 ms,"[(3, True, True), (7, True, True)]",,
Probabilistisch,Fermat (k = 2),15,composite,False,False,False,False,0,0.069 ms,0.097 ms,0.300 ms,0.040 ms,"[(13, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 2),17,prime,True,False,False,False,0,0.136 ms,0.158 ms,0.467 ms,0.060 ms,"[(16, True, True), (11, True, True)]",,
Probabilistisch,Fermat (k = 2),19,prime,True,False,False,False,0,0.137 ms,0.161 ms,0.265 ms,0.027 ms,"[(7, True, True), (16, True, True)]",,
Probabilistisch,Fermat (k = 2),21,composite,False,False,False,False,0,0.135 ms,0.157 ms,0.359 ms,0.032 ms,"[(20, True, True), (9, False, None)]",,ggT ≠ 1
