n,avg_time,std_dev,best_time,worst_time,label
13877,6.659980863332749e-06,4.208679529949397e-06,4.09991480410099e-06,1.4099990949034691e-05,Fermat (k=5)
22702,1.3200100511312484e-06,7.39584379109018e-07,8.00006091594696e-07,2.600019797682762e-06,Fermat (k=5)
24962,1.040007919073105e-06,3.286360368809693e-07,8.00006091594696e-07,1.600012183189392e-06,Fermat (k=5)
27983,4.220008850097656e-06,5.495664004243112e-07,3.899913281202316e-06,5.200039595365524e-06,Fermat (k=5)
88860,2.2600404918193815e-06,1.7257526785267509e-06,1.200009137392044e-06,5.300156772136688e-06,Fermat (k=5)
