n,avg_time,std_dev,best_time,worst_time,label
283,1.217997632920742e-05,7.099429984718727e-06,7.999828085303307e-06,2.4799956008791924e-05,Fermat (k=5)
431,1.0320032015442848e-05,1.1032025158599983e-06,9.400071576237679e-06,1.2200092896819115e-05,Fermat (k=5)
457,9.560026228427887e-06,1.1886548909794411e-06,8.600065484642982e-06,1.1499971151351929e-05,Fermat (k=5)
