n,avg_time,std_dev,best_time,worst_time,label
13877,1.3080006465315818e-05,5.949624779646403e-06,9.799841791391373e-06,2.3600179702043533e-05,Fermat (k=5)
22702,3.099953755736351e-06,9.246376678433877e-07,2.499902620911598e-06,4.699919372797012e-06,Fermat (k=5)
24962,3.000069409608841e-06,9.695793809013379e-07,2.300133928656578e-06,4.700152203440666e-06,Fermat (k=5)
27983,1.1220015585422516e-05,1.0085111080329572e-06,1.0499963536858559e-05,1.300009898841381e-05,Fermat (k=5)
88860,3.7800054997205734e-06,7.661073594283385e-07,3.200024366378784e-06,5.09992241859436e-06,Fermat (k=5)
