n,avg_time,std_dev,best_time,worst_time,label
13278,3.0399765819311143e-06,2.7006114107865405e-06,1.0998919606208801e-06,7.6000578701496124e-06,Fermat (k=5)
24592,1.7399899661540985e-06,1.545275287870056e-06,1.00000761449337e-06,4.499917849898338e-06,Fermat (k=5)
42098,1.2600328773260117e-06,4.2189264058976434e-07,1.00000761449337e-06,2.00001522898674e-06,Fermat (k=5)
46048,1.4200340956449509e-06,2.683171895895399e-07,1.200009137392044e-06,1.800013706088066e-06,Fermat (k=5)
93810,1.3399869203567504e-06,2.6077455130766086e-07,1.200009137392044e-06,1.800013706088066e-06,Fermat (k=5)
