n,avg_time,std_dev,best_time,worst_time,label
10000,2.4400185793638228e-06,2.5085370709141825e-06,1.100124791264534e-06,6.8999361246824265e-06,Fermat (k=5)
20000,1.3799872249364853e-06,5.358191704204678e-07,9.997747838497162e-07,2.300133928656578e-06,Fermat (k=5)
30000,1.3199634850025177e-06,3.033019924390118e-07,1.0998919606208801e-06,1.6998965293169022e-06,Fermat (k=5)
40000,1.3599637895822525e-06,3.1302588554182934e-07,1.0998919606208801e-06,1.8998980522155762e-06,Fermat (k=5)
50000,1.200009137392044e-06,4.527084278277752e-07,8.00006091594696e-07,1.8998980522155762e-06,Fermat (k=5)
60000,1.5199650079011917e-06,2.773691923302439e-07,1.300126314163208e-06,1.9997823983430862e-06,Fermat (k=5)
70000,1.440010964870453e-06,2.0736600884712655e-07,1.2998934835195541e-06,1.800013706088066e-06,Fermat (k=5)
80000,1.3999640941619873e-06,1.0005900635772871e-07,1.2998934835195541e-06,1.500127837061882e-06,Fermat (k=5)
90000,1.3999640941619873e-06,1.2252295345059234e-07,1.2998934835195541e-06,1.600012183189392e-06,Fermat (k=5)
