n,avg_time,std_dev,best_time,worst_time,label
13877,1.4699995517730713e-05,6.605671516141873e-06,1.0699965059757233e-05,2.6399968191981316e-05,Fermat (k=5)
22702,5.820067599415779e-06,4.172209003180532e-06,2.8999056667089462e-06,1.300009898841381e-05,Fermat (k=5)
24962,3.1400006264448168e-06,5.078285709493562e-07,2.800021320581436e-06,3.999797627329826e-06,Fermat (k=5)
27983,1.3599917292594909e-05,4.316196277491683e-06,1.109996810555458e-05,2.1099811419844627e-05,Fermat (k=5)
88860,3.6399811506271363e-06,5.941856637871563e-07,3.0999071896076202e-06,4.600035026669502e-06,Fermat (k=5)
