n,avg_time,std_dev,best_time,worst_time,label
126225,2.879975363612175e-06,1.8978951422704132e-06,1.600012183189392e-06,6.09993003308773e-06,Fermat (k=5)
216739,2.0399689674377442e-06,6.504198855066525e-07,1.6998965293169022e-06,3.200024366378784e-06,Fermat (k=5)
388389,1.9399449229240417e-06,4.827478247161301e-07,1.6998965293169022e-06,2.800021320581436e-06,Fermat (k=5)
770487,1.9799917936325073e-06,2.387583175318693e-07,1.800013706088066e-06,2.400018274784088e-06,Fermat (k=5)
877572,1.8400605767965317e-06,2.510138411882337e-07,1.600012183189392e-06,2.200016751885414e-06,Fermat (k=5)
