n,avg_time,std_dev,best_time,worst_time,label
869000,3.5400502383708953e-06,3.2997711213974244e-06,1.200009137392044e-06,9.100185707211494e-06,Fermat (k=5)
138349,6.340071558952332e-06,1.4152837824758606e-06,5.499925464391708e-06,8.800067007541656e-06,Fermat (k=5)
936602,1.4800112694501878e-06,4.086594548358473e-07,1.200009137392044e-06,2.200016751885414e-06,Fermat (k=5)
276779,5.83995133638382e-06,6.54273675263221e-07,5.499925464391708e-06,7.00005330145359e-06,Fermat (k=5)
217265,1.360056921839714e-06,3.0500714787837695e-07,1.200009137392044e-06,1.90013088285923e-06,Fermat (k=5)
