n,avg_time,std_dev,best_time,worst_time,label
13877,5.5800192058086395e-06,2.6098811784522566e-06,4.00003045797348e-06,1.019984483718872e-05,Fermat (k=5)
22702,1.4200806617736816e-06,6.380086967231975e-07,1.00000761449337e-06,2.500135451555252e-06,Fermat (k=5)
24962,1.1600088328123092e-06,3.0501860261286325e-07,1.00000761449337e-06,1.700129359960556e-06,Fermat (k=5)
27983,4.519941285252571e-06,4.4382922731074804e-07,4.200031980872154e-06,5.299923941493034e-06,Fermat (k=5)
88860,1.4799647033214568e-06,2.387192957771004e-07,1.2998934835195541e-06,1.8998980522155762e-06,Fermat (k=5)
