n,avg_time,std_dev,best_time,worst_time,label
24962,2.8799287974834444e-06,2.525262910868232e-06,1.00000761449337e-06,7.0999376475811005e-06,Fermat (k=5)
27983,4.5600812882184986e-06,9.990502276776544e-07,3.90014611184597e-06,6.300164386630058e-06,Fermat (k=5)
22702,1.2800563126802445e-06,5.167040887231393e-07,1.00000761449337e-06,2.200016751885414e-06,Fermat (k=5)
88860,1.459987834095955e-06,2.703121457877129e-07,1.1997763067483902e-06,1.90013088285923e-06,Fermat (k=5)
13877,3.940006718039513e-06,4.979904414438712e-07,3.500143066048622e-06,4.800036549568176e-06,Fermat (k=5)
