n_numbers, 100
start, 1
end, 100000
test_repeats, 10
number_type, g:0.5
variant, 2
seed, 30836
group_range, Probabilistisch, n=100, start=1, end=100000
group_range, Lucas, n=100, start=1, end=100000
group_range, Langsam, n=100, start=1, end=100000
group_range, Proth-Tests, n=100, start=1, end=100000
group_range, Pocklington-Tests, n=100, start=1, end=100000
group_range, Rao, n=100, start=1, end=100000
group_range, Ramzy, n=100, start=1, end=100000
group_range, Fermat-Zahlen, n=100, start=1, end=100000
group_range, Mersenne-Zahlen, n=100, start=1, end=100000

test_avg, Fermat (k = 3), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.066 ms, avg_avg_time=0.077 ms, avg_worst_time=0.132 ms, avg_std_dev=0.021
test_avg, Miller-Selfridge-Rabin (k = 3), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.071 ms, avg_avg_time=0.080 ms, avg_worst_time=0.129 ms, avg_std_dev=0.018
test_avg, Solovay-Strassen (k = 3), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.015 ms, avg_avg_time=0.016 ms, avg_worst_time=0.028 ms, avg_std_dev=0.004
test_avg, Initial Lucas, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=4.346 ms, avg_avg_time=4.541 ms, avg_worst_time=4.873 ms, avg_std_dev=0.164
test_avg, Lucas, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=2.780 ms, avg_avg_time=2.922 ms, avg_worst_time=3.317 ms, avg_std_dev=0.169
test_avg, Optimized Lucas, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=5.039 ms, avg_avg_time=5.247 ms, avg_worst_time=5.543 ms, avg_std_dev=0.164
test_avg, Wilson, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=4.848 ms, avg_avg_time=5.012 ms, avg_worst_time=5.336 ms, avg_std_dev=0.154
test_avg, AKS10, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=5.230 ms, avg_avg_time=5.603 ms, avg_worst_time=6.824 ms, avg_std_dev=0.502
test_avg, Pepin, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.000 ms, avg_avg_time=0.001 ms, avg_worst_time=0.002 ms, avg_std_dev=0.000
test_avg, Lucas-Lehmer, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.001 ms, avg_avg_time=0.001 ms, avg_worst_time=0.004 ms, avg_std_dev=0.001
test_avg, Proth, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=4.901 ms, avg_avg_time=5.123 ms, avg_worst_time=5.544 ms, avg_std_dev=0.198
test_avg, Proth Variant, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.001 ms, avg_avg_time=0.001 ms, avg_worst_time=0.002 ms, avg_std_dev=0.000
test_avg, Pocklington, avg_false_positive=0.170, avg_false_negative=0.000, avg_error_rate=0.170, avg_best_time=20.146 ms, avg_avg_time=20.964 ms, avg_worst_time=21.987 ms, avg_std_dev=0.576
test_avg, Optimized Pocklington, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=16.053 ms, avg_avg_time=16.648 ms, avg_worst_time=17.409 ms, avg_std_dev=0.434
test_avg, Optimized Pocklington Variant, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=138.948 ms, avg_avg_time=142.270 ms, avg_worst_time=148.953 ms, avg_std_dev=3.336
test_avg, Generalized Pocklington, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=21.548 ms, avg_avg_time=22.344 ms, avg_worst_time=23.500 ms, avg_std_dev=0.606
test_avg, Rao, avg_false_positive=0.000, avg_false_negative=0.010, avg_error_rate=0.010, avg_best_time=0.001 ms, avg_avg_time=0.002 ms, avg_worst_time=0.003 ms, avg_std_dev=0.000
test_avg, Ramzy, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=28.459 ms, avg_avg_time=29.717 ms, avg_worst_time=32.251 ms, avg_std_dev=1.183

Gruppe,Test,Zahl,Ergebnis,true_prime,is_error,false_positive,false_negative,error_rate,best_time,avg_time,worst_time,std_dev,a_values,other_fields,reason
Probabilistisch,Fermat (k = 3),2,prime,True,False,False,False,0,0.000 ms,0.001 ms,0.003 ms,0.001 ms,"[(2, True, True)]",,
Probabilistisch,Fermat (k = 3),3,prime,True,False,False,False,0,0.100 ms,0.129 ms,0.325 ms,0.069 ms,"[(2, True, True), (2, True, True), (2, True, True)]",,
Probabilistisch,Fermat (k = 3),5,prime,True,False,False,False,0,0.103 ms,0.109 ms,0.153 ms,0.015 ms,"[(3, True, True), (3, True, True), (2, True, True)]",,
Probabilistisch,Fermat (k = 3),7,prime,True,False,False,False,0,0.102 ms,0.110 ms,0.147 ms,0.013 ms,"[(2, True, True), (2, True, True), (2, True, True)]",,
Probabilistisch,Fermat (k = 3),11,prime,True,False,False,False,0,0.102 ms,0.113 ms,0.182 ms,0.024 ms,"[(9, True, True), (4, True, True), (4, True, True)]",,
Probabilistisch,Fermat (k = 3),13,prime,True,False,False,False,0,0.101 ms,0.112 ms,0.175 ms,0.022 ms,"[(9, True, True), (10, True, True), (6, True, True)]",,
Probabilistisch,Fermat (k = 3),15,composite,False,False,False,False,0,0.034 ms,0.038 ms,0.060 ms,0.008 ms,"[(6, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),17,prime,True,False,False,False,0,0.103 ms,0.121 ms,0.199 ms,0.033 ms,"[(8, True, True), (11, True, True), (16, True, True)]",,
Probabilistisch,Fermat (k = 3),19,prime,True,False,False,False,0,0.101 ms,0.108 ms,0.163 ms,0.019 ms,"[(9, True, True), (5, True, True), (7, True, True)]",,
Probabilistisch,Fermat (k = 3),23,prime,True,False,False,False,0,0.099 ms,0.106 ms,0.141 ms,0.012 ms,"[(5, True, True), (4, True, True), (11, True, True)]",,
Probabilistisch,Fermat (k = 3),31,prime,True,False,False,False,0,0.100 ms,0.111 ms,0.156 ms,0.018 ms,"[(20, True, True), (9, True, True), (17, True, True)]",,
Probabilistisch,Fermat (k = 3),35,composite,False,False,False,False,0,0.033 ms,0.037 ms,0.061 ms,0.008 ms,"[(31, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),37,prime,True,False,False,False,0,0.100 ms,0.107 ms,0.145 ms,0.013 ms,"[(29, True, True), (35, True, True), (10, True, True)]",,
Probabilistisch,Fermat (k = 3),43,prime,True,False,False,False,0,0.106 ms,0.153 ms,0.353 ms,0.075 ms,"[(35, True, True), (42, True, True), (7, True, True)]",,
Probabilistisch,Fermat (k = 3),57,composite,False,False,False,False,0,0.036 ms,0.049 ms,0.102 ms,0.022 ms,"[(46, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),61,prime,True,False,False,False,0,0.106 ms,0.136 ms,0.235 ms,0.037 ms,"[(24, True, True), (37, True, True), (49, True, True)]",,
Probabilistisch,Fermat (k = 3),71,prime,True,False,False,False,0,0.096 ms,0.112 ms,0.198 ms,0.031 ms,"[(47, True, True), (30, True, True), (52, True, True)]",,
Probabilistisch,Fermat (k = 3),73,prime,True,False,False,False,0,0.099 ms,0.108 ms,0.172 ms,0.023 ms,"[(3, True, True), (28, True, True), (64, True, True)]",,
Probabilistisch,Fermat (k = 3),75,composite,False,False,False,False,0,0.034 ms,0.038 ms,0.062 ms,0.009 ms,"[(3, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),89,prime,True,False,False,False,0,0.101 ms,0.118 ms,0.244 ms,0.044 ms,"[(25, True, True), (64, True, True), (27, True, True)]",,
Probabilistisch,Fermat (k = 3),95,composite,False,False,False,False,0,0.033 ms,0.040 ms,0.077 ms,0.013 ms,"[(91, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),103,prime,True,False,False,False,0,0.101 ms,0.112 ms,0.176 ms,0.023 ms,"[(2, True, True), (81, True, True), (12, True, True)]",,
Probabilistisch,Fermat (k = 3),107,prime,True,False,False,False,0,0.102 ms,0.119 ms,0.178 ms,0.030 ms,"[(59, True, True), (93, True, True), (49, True, True)]",,
Probabilistisch,Fermat (k = 3),113,prime,True,False,False,False,0,0.098 ms,0.110 ms,0.195 ms,0.030 ms,"[(32, True, True), (58, True, True), (21, True, True)]",,
Probabilistisch,Fermat (k = 3),123,composite,False,False,False,False,0,0.034 ms,0.039 ms,0.063 ms,0.009 ms,"[(10, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),127,prime,True,False,False,False,0,0.098 ms,0.113 ms,0.144 ms,0.016 ms,"[(76, True, True), (103, True, True), (123, True, True)]",,
Probabilistisch,Fermat (k = 3),135,composite,False,False,False,False,0,0.033 ms,0.039 ms,0.070 ms,0.011 ms,"[(57, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),139,prime,True,False,False,False,0,0.098 ms,0.107 ms,0.167 ms,0.021 ms,"[(17, True, True), (88, True, True), (97, True, True)]",,
Probabilistisch,Fermat (k = 3),149,prime,True,False,False,False,0,0.096 ms,0.107 ms,0.173 ms,0.024 ms,"[(131, True, True), (134, True, True), (82, True, True)]",,
Probabilistisch,Fermat (k = 3),157,prime,True,False,False,False,0,0.096 ms,0.106 ms,0.166 ms,0.021 ms,"[(132, True, True), (57, True, True), (34, True, True)]",,
Probabilistisch,Fermat (k = 3),199,prime,True,False,False,False,0,0.098 ms,0.118 ms,0.264 ms,0.051 ms,"[(52, True, True), (41, True, True), (20, True, True)]",,
Probabilistisch,Fermat (k = 3),217,composite,False,False,False,False,0,0.034 ms,0.043 ms,0.090 ms,0.017 ms,"[(60, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),239,prime,True,False,False,False,0,0.099 ms,0.109 ms,0.169 ms,0.021 ms,"[(209, True, True), (69, True, True), (16, True, True)]",,
Probabilistisch,Fermat (k = 3),241,prime,True,False,False,False,0,0.100 ms,0.113 ms,0.183 ms,0.025 ms,"[(175, True, True), (202, True, True), (192, True, True)]",,
Probabilistisch,Fermat (k = 3),265,composite,False,False,False,False,0,0.034 ms,0.041 ms,0.076 ms,0.013 ms,"[(251, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),295,composite,False,False,False,False,0,0.033 ms,0.039 ms,0.078 ms,0.014 ms,"[(288, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),323,composite,False,False,False,False,0,0.033 ms,0.039 ms,0.073 ms,0.012 ms,"[(179, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),337,prime,True,False,False,False,0,0.099 ms,0.112 ms,0.206 ms,0.033 ms,"[(33, True, True), (148, True, True), (219, True, True)]",,
Probabilistisch,Fermat (k = 3),389,prime,True,False,False,False,0,0.100 ms,0.114 ms,0.176 ms,0.024 ms,"[(274, True, True), (234, True, True), (285, True, True)]",,
Probabilistisch,Fermat (k = 3),399,composite,False,False,False,False,0,0.033 ms,0.040 ms,0.081 ms,0.015 ms,"[(287, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),411,composite,False,False,False,False,0,0.032 ms,0.037 ms,0.062 ms,0.009 ms,"[(42, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),421,prime,True,False,False,False,0,0.100 ms,0.108 ms,0.164 ms,0.020 ms,"[(157, True, True), (145, True, True), (317, True, True)]",,
Probabilistisch,Fermat (k = 3),437,composite,False,False,False,False,0,0.033 ms,0.039 ms,0.075 ms,0.013 ms,"[(26, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),493,composite,False,False,False,False,0,0.033 ms,0.044 ms,0.079 ms,0.018 ms,"[(146, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),525,composite,False,False,False,False,0,0.033 ms,0.038 ms,0.072 ms,0.012 ms,"[(329, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),539,composite,False,False,False,False,0,0.034 ms,0.038 ms,0.059 ms,0.008 ms,"[(28, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),611,composite,False,False,False,False,0,0.033 ms,0.040 ms,0.074 ms,0.012 ms,"[(477, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),997,prime,True,False,False,False,0,0.099 ms,0.110 ms,0.173 ms,0.023 ms,"[(679, True, True), (531, True, True), (782, True, True)]",,
Probabilistisch,Fermat (k = 3),1067,composite,False,False,False,False,0,0.033 ms,0.038 ms,0.071 ms,0.012 ms,"[(708, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),1175,composite,False,False,False,False,0,0.036 ms,0.052 ms,0.133 ms,0.030 ms,"[(608, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),1219,composite,False,False,False,False,0,0.033 ms,0.040 ms,0.082 ms,0.015 ms,"[(548, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),1237,prime,True,False,False,False,0,0.100 ms,0.111 ms,0.171 ms,0.021 ms,"[(8, True, True), (790, True, True), (1016, True, True)]",,
Probabilistisch,Fermat (k = 3),1279,prime,True,False,False,False,0,0.100 ms,0.120 ms,0.204 ms,0.035 ms,"[(1176, True, True), (789, True, True), (287, True, True)]",,
Probabilistisch,Fermat (k = 3),1413,composite,False,False,False,False,0,0.033 ms,0.040 ms,0.080 ms,0.014 ms,"[(60, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),1613,prime,True,False,False,False,0,0.102 ms,0.111 ms,0.166 ms,0.020 ms,"[(446, True, True), (349, True, True), (64, True, True)]",,
Probabilistisch,Fermat (k = 3),1877,prime,True,False,False,False,0,0.100 ms,0.109 ms,0.166 ms,0.020 ms,"[(1055, True, True), (1341, True, True), (91, True, True)]",,
Probabilistisch,Fermat (k = 3),1973,prime,True,False,False,False,0,0.100 ms,0.113 ms,0.183 ms,0.026 ms,"[(476, True, True), (1476, True, True), (1606, True, True)]",,
Probabilistisch,Fermat (k = 3),2373,composite,False,False,False,False,0,0.033 ms,0.038 ms,0.070 ms,0.011 ms,"[(1384, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),2573,composite,False,False,False,False,0,0.033 ms,0.039 ms,0.071 ms,0.011 ms,"[(1537, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),2621,prime,True,False,False,False,0,0.099 ms,0.110 ms,0.194 ms,0.029 ms,"[(929, True, True), (2037, True, True), (1310, True, True)]",,
Probabilistisch,Fermat (k = 3),2895,composite,False,False,False,False,0,0.032 ms,0.038 ms,0.075 ms,0.013 ms,"[(870, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),3023,prime,True,False,False,False,0,0.099 ms,0.109 ms,0.162 ms,0.019 ms,"[(1656, True, True), (1720, True, True), (139, True, True)]",,
Probabilistisch,Fermat (k = 3),3991,composite,False,False,False,False,0,0.033 ms,0.038 ms,0.070 ms,0.011 ms,"[(204, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),4383,composite,False,False,False,False,0,0.034 ms,0.041 ms,0.069 ms,0.013 ms,"[(3313, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),4831,prime,True,False,False,False,0,0.115 ms,0.153 ms,0.221 ms,0.045 ms,"[(1499, True, True), (2827, True, True), (1571, True, True)]",,
Probabilistisch,Fermat (k = 3),5385,composite,False,False,False,False,0,0.039 ms,0.049 ms,0.107 ms,0.021 ms,"[(5009, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),6231,composite,False,False,False,False,0,0.035 ms,0.048 ms,0.109 ms,0.022 ms,"[(3645, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),7387,composite,False,False,False,False,0,0.038 ms,0.045 ms,0.091 ms,0.016 ms,"[(1961, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),7717,prime,True,False,False,False,0,0.095 ms,0.112 ms,0.190 ms,0.030 ms,"[(958, True, True), (3977, True, True), (1038, True, True)]",,
Probabilistisch,Fermat (k = 3),8685,composite,False,False,False,False,0,0.032 ms,0.039 ms,0.075 ms,0.013 ms,"[(6484, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),9563,composite,False,False,False,False,0,0.034 ms,0.039 ms,0.072 ms,0.012 ms,"[(579, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),9713,composite,False,False,False,False,0,0.033 ms,0.039 ms,0.074 ms,0.012 ms,"[(79, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),9723,composite,False,False,False,False,0,0.032 ms,0.038 ms,0.074 ms,0.013 ms,"[(7569, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),10333,prime,True,False,False,False,0,0.102 ms,0.149 ms,0.308 ms,0.066 ms,"[(3384, True, True), (6278, True, True), (6274, True, True)]",,
Probabilistisch,Fermat (k = 3),10823,composite,False,False,False,False,0,0.034 ms,0.051 ms,0.117 ms,0.029 ms,"[(4374, True, False)]",,a^{n-1} ≠ 1
