n_numbers, 100
start, 1
end, 100000
test_repeats, 10
number_type, g:0.5
variant, 2
seed, 29453
group_range, Probabilistisch, n=100, start=1, end=100000
group_range, Lucas, n=100, start=1, end=100000
group_range, Langsam, n=100, start=1, end=100000
group_range, Proth-Tests, n=100, start=1, end=100000
group_range, Pocklington-Tests, n=100, start=1, end=100000
group_range, Rao, n=100, start=1, end=100000
group_range, Ramzy, n=100, start=1, end=100000
group_range, Fermat-Zahlen, n=100, start=1, end=100000
group_range, Mersenne-Zahlen, n=100, start=1, end=100000

test_avg, Fermat (k = 3), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.066 ms, avg_avg_time=0.077 ms, avg_worst_time=0.133 ms, avg_std_dev=0.021
test_avg, Miller-Selfridge-Rabin (k = 3), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.071 ms, avg_avg_time=0.079 ms, avg_worst_time=0.115 ms, avg_std_dev=0.014
test_avg, Solovay-Strassen (k = 3), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.015 ms, avg_avg_time=0.016 ms, avg_worst_time=0.020 ms, avg_std_dev=0.002
test_avg, Initial Lucas, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=5.776 ms, avg_avg_time=5.944 ms, avg_worst_time=6.143 ms, avg_std_dev=0.120
test_avg, Lucas, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=4.442 ms, avg_avg_time=4.640 ms, avg_worst_time=5.186 ms, avg_std_dev=0.231
test_avg, Optimized Lucas, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=8.002 ms, avg_avg_time=8.313 ms, avg_worst_time=8.687 ms, avg_std_dev=0.228
test_avg, Wilson, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=5.120 ms, avg_avg_time=5.294 ms, avg_worst_time=5.575 ms, avg_std_dev=0.152
test_avg, AKS10, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=4.622 ms, avg_avg_time=4.846 ms, avg_worst_time=5.415 ms, avg_std_dev=0.252
test_avg, Pepin, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.000 ms, avg_avg_time=0.001 ms, avg_worst_time=0.002 ms, avg_std_dev=0.000
test_avg, Lucas-Lehmer, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.001 ms, avg_avg_time=0.002 ms, avg_worst_time=0.004 ms, avg_std_dev=0.001
test_avg, Proth, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=4.827 ms, avg_avg_time=5.001 ms, avg_worst_time=5.318 ms, avg_std_dev=0.162
test_avg, Proth Variant, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.001 ms, avg_avg_time=0.001 ms, avg_worst_time=0.002 ms, avg_std_dev=0.000
test_avg, Pocklington, avg_false_positive=0.230, avg_false_negative=0.000, avg_error_rate=0.230, avg_best_time=22.216 ms, avg_avg_time=22.713 ms, avg_worst_time=23.346 ms, avg_std_dev=0.368
test_avg, Optimized Pocklington, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=19.759 ms, avg_avg_time=20.256 ms, avg_worst_time=21.195 ms, avg_std_dev=0.438
test_avg, Optimized Pocklington Variant, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=77.029 ms, avg_avg_time=78.836 ms, avg_worst_time=81.337 ms, avg_std_dev=1.379
test_avg, Generalized Pocklington, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=23.120 ms, avg_avg_time=23.887 ms, avg_worst_time=25.336 ms, avg_std_dev=0.700
test_avg, Rao, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.002 ms, avg_avg_time=0.002 ms, avg_worst_time=0.002 ms, avg_std_dev=0.000
test_avg, Ramzy, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=28.298 ms, avg_avg_time=29.159 ms, avg_worst_time=30.689 ms, avg_std_dev=0.748

Gruppe,Test,Zahl,Ergebnis,true_prime,is_error,false_positive,false_negative,error_rate,best_time,avg_time,worst_time,std_dev,a_values,other_fields,reason
Probabilistisch,Fermat (k = 3),2,prime,True,False,False,False,0,0.000 ms,0.001 ms,0.003 ms,0.001 ms,"[(2, True, True)]",,
Probabilistisch,Fermat (k = 3),3,prime,True,False,False,False,0,0.099 ms,0.124 ms,0.324 ms,0.070 ms,"[(2, True, True), (2, True, True), (2, True, True)]",,
Probabilistisch,Fermat (k = 3),5,prime,True,False,False,False,0,0.096 ms,0.105 ms,0.159 ms,0.019 ms,"[(3, True, True), (4, True, True), (2, True, True)]",,
Probabilistisch,Fermat (k = 3),7,prime,True,False,False,False,0,0.096 ms,0.105 ms,0.155 ms,0.018 ms,"[(3, True, True), (2, True, True), (6, True, True)]",,
Probabilistisch,Fermat (k = 3),11,prime,True,False,False,False,0,0.101 ms,0.124 ms,0.211 ms,0.037 ms,"[(9, True, True), (5, True, True), (5, True, True)]",,
Probabilistisch,Fermat (k = 3),13,prime,True,False,False,False,0,0.099 ms,0.108 ms,0.164 ms,0.020 ms,"[(5, True, True), (8, True, True), (11, True, True)]",,
Probabilistisch,Fermat (k = 3),15,composite,False,False,False,False,0,0.033 ms,0.037 ms,0.060 ms,0.008 ms,"[(13, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),17,prime,True,False,False,False,0,0.097 ms,0.103 ms,0.139 ms,0.013 ms,"[(10, True, True), (7, True, True), (10, True, True)]",,
Probabilistisch,Fermat (k = 3),19,prime,True,False,False,False,0,0.098 ms,0.103 ms,0.131 ms,0.010 ms,"[(17, True, True), (15, True, True), (9, True, True)]",,
Probabilistisch,Fermat (k = 3),21,composite,False,False,False,False,0,0.032 ms,0.038 ms,0.073 ms,0.012 ms,"[(12, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),23,prime,True,False,False,False,0,0.105 ms,0.116 ms,0.154 ms,0.014 ms,"[(16, True, True), (3, True, True), (4, True, True)]",,
Probabilistisch,Fermat (k = 3),31,prime,True,False,False,False,0,0.097 ms,0.108 ms,0.176 ms,0.024 ms,"[(27, True, True), (18, True, True), (10, True, True)]",,
Probabilistisch,Fermat (k = 3),35,composite,False,False,False,False,0,0.064 ms,0.073 ms,0.124 ms,0.018 ms,"[(34, True, True), (15, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),37,prime,True,False,False,False,0,0.097 ms,0.107 ms,0.167 ms,0.021 ms,"[(18, True, True), (30, True, True), (24, True, True)]",,
Probabilistisch,Fermat (k = 3),39,composite,False,False,False,False,0,0.033 ms,0.037 ms,0.057 ms,0.007 ms,"[(35, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),41,prime,True,False,False,False,0,0.097 ms,0.103 ms,0.130 ms,0.010 ms,"[(6, True, True), (31, True, True), (21, True, True)]",,
Probabilistisch,Fermat (k = 3),47,prime,True,False,False,False,0,0.102 ms,0.114 ms,0.175 ms,0.023 ms,"[(18, True, True), (21, True, True), (41, True, True)]",,
Probabilistisch,Fermat (k = 3),55,composite,False,False,False,False,0,0.032 ms,0.037 ms,0.063 ms,0.009 ms,"[(23, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),61,prime,True,False,False,False,0,0.096 ms,0.106 ms,0.163 ms,0.020 ms,"[(25, True, True), (40, True, True), (47, True, True)]",,
Probabilistisch,Fermat (k = 3),79,prime,True,False,False,False,0,0.098 ms,0.105 ms,0.149 ms,0.016 ms,"[(2, True, True), (71, True, True), (21, True, True)]",,
Probabilistisch,Fermat (k = 3),83,prime,True,False,False,False,0,0.095 ms,0.108 ms,0.174 ms,0.023 ms,"[(66, True, True), (38, True, True), (73, True, True)]",,
Probabilistisch,Fermat (k = 3),85,composite,False,False,False,False,0,0.035 ms,0.061 ms,0.124 ms,0.028 ms,"[(75, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),95,composite,False,False,False,False,0,0.033 ms,0.040 ms,0.077 ms,0.013 ms,"[(71, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),99,composite,False,False,False,False,0,0.036 ms,0.068 ms,0.269 ms,0.072 ms,"[(14, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),103,prime,True,False,False,False,0,0.100 ms,0.131 ms,0.273 ms,0.058 ms,"[(73, True, True), (15, True, True), (102, True, True)]",,
