n_numbers, 100
start, 1
end, 100000
test_repeats, 10
number_type, g:0.5
variant, 2
seed, 20370
group_range, Probabilistisch, n=100, start=1, end=100000
group_range, Lucas, n=100, start=1, end=100000
group_range, Langsam, n=100, start=1, end=100000
group_range, Proth-Tests, n=100, start=1, end=100000
group_range, Pocklington-Tests, n=100, start=1, end=100000
group_range, Rao, n=100, start=1, end=100000
group_range, Ramzy, n=100, start=1, end=100000
group_range, Fermat-Zahlen, n=100, start=1, end=100000
group_range, Mersenne-Zahlen, n=100, start=1, end=100000

test_avg, Fermat (k = 3), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.066 ms, avg_avg_time=0.080 ms, avg_worst_time=0.153 ms, avg_std_dev=0.028
test_avg, Miller-Selfridge-Rabin (k = 3), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.070 ms, avg_avg_time=0.078 ms, avg_worst_time=0.121 ms, avg_std_dev=0.016
test_avg, Solovay-Strassen (k = 3), avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.014 ms, avg_avg_time=0.015 ms, avg_worst_time=0.017 ms, avg_std_dev=0.001
test_avg, Initial Lucas, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=5.160 ms, avg_avg_time=5.429 ms, avg_worst_time=6.006 ms, avg_std_dev=0.261
test_avg, Lucas, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=3.190 ms, avg_avg_time=3.330 ms, avg_worst_time=3.638 ms, avg_std_dev=0.141
test_avg, Optimized Lucas, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=6.286 ms, avg_avg_time=6.591 ms, avg_worst_time=7.040 ms, avg_std_dev=0.242
test_avg, Wilson, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=7.054 ms, avg_avg_time=7.342 ms, avg_worst_time=7.820 ms, avg_std_dev=0.250
test_avg, AKS10, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=4.957 ms, avg_avg_time=5.440 ms, avg_worst_time=7.090 ms, avg_std_dev=0.685
test_avg, Pepin, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.000 ms, avg_avg_time=0.001 ms, avg_worst_time=0.002 ms, avg_std_dev=0.000
test_avg, Lucas-Lehmer, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.001 ms, avg_avg_time=0.001 ms, avg_worst_time=0.003 ms, avg_std_dev=0.001
test_avg, Proth, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=5.216 ms, avg_avg_time=5.536 ms, avg_worst_time=6.010 ms, avg_std_dev=0.258
test_avg, Proth Variant, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.001 ms, avg_avg_time=0.001 ms, avg_worst_time=0.002 ms, avg_std_dev=0.000
test_avg, Pocklington, avg_false_positive=0.320, avg_false_negative=0.000, avg_error_rate=0.320, avg_best_time=22.485 ms, avg_avg_time=23.351 ms, avg_worst_time=24.538 ms, avg_std_dev=0.655
test_avg, Optimized Pocklington, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=23.012 ms, avg_avg_time=23.885 ms, avg_worst_time=25.009 ms, avg_std_dev=0.626
test_avg, Optimized Pocklington Variant, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=115.881 ms, avg_avg_time=118.716 ms, avg_worst_time=125.433 ms, avg_std_dev=3.152
test_avg, Generalized Pocklington, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=24.052 ms, avg_avg_time=25.083 ms, avg_worst_time=27.028 ms, avg_std_dev=0.925
test_avg, Rao, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=0.001 ms, avg_avg_time=0.002 ms, avg_worst_time=0.003 ms, avg_std_dev=0.000
test_avg, Ramzy, avg_false_positive=0.000, avg_false_negative=0.000, avg_error_rate=0.000, avg_best_time=29.659 ms, avg_avg_time=30.663 ms, avg_worst_time=31.853 ms, avg_std_dev=0.695

Gruppe,Test,Zahl,Ergebnis,true_prime,is_error,false_positive,false_negative,error_rate,best_time,avg_time,worst_time,std_dev,a_values,other_fields,reason
Probabilistisch,Fermat (k = 3),2,prime,True,False,False,False,0,0.000 ms,0.001 ms,0.002 ms,0.001 ms,"[(2, True, True)]",,
Probabilistisch,Fermat (k = 3),3,prime,True,False,False,False,0,0.098 ms,0.125 ms,0.329 ms,0.072 ms,"[(2, True, True), (2, True, True), (2, True, True)]",,
Probabilistisch,Fermat (k = 3),5,prime,True,False,False,False,0,0.098 ms,0.108 ms,0.161 ms,0.019 ms,"[(4, True, True), (4, True, True), (2, True, True)]",,
Probabilistisch,Fermat (k = 3),7,prime,True,False,False,False,0,0.100 ms,0.117 ms,0.159 ms,0.022 ms,"[(6, True, True), (5, True, True), (4, True, True)]",,
Probabilistisch,Fermat (k = 3),11,prime,True,False,False,False,0,0.098 ms,0.109 ms,0.172 ms,0.022 ms,"[(8, True, True), (7, True, True), (2, True, True)]",,
Probabilistisch,Fermat (k = 3),13,prime,True,False,False,False,0,0.096 ms,0.105 ms,0.144 ms,0.015 ms,"[(4, True, True), (2, True, True), (3, True, True)]",,
Probabilistisch,Fermat (k = 3),15,composite,False,False,False,False,0,0.033 ms,0.037 ms,0.063 ms,0.009 ms,"[(6, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),17,prime,True,False,False,False,0,0.098 ms,0.105 ms,0.146 ms,0.015 ms,"[(6, True, True), (14, True, True), (6, True, True)]",,
Probabilistisch,Fermat (k = 3),19,prime,True,False,False,False,0,0.098 ms,0.107 ms,0.147 ms,0.015 ms,"[(6, True, True), (17, True, True), (16, True, True)]",,
Probabilistisch,Fermat (k = 3),21,composite,False,False,False,False,0,0.036 ms,0.040 ms,0.066 ms,0.009 ms,"[(3, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),23,prime,True,False,False,False,0,0.097 ms,0.110 ms,0.162 ms,0.019 ms,"[(8, True, True), (20, True, True), (21, True, True)]",,
Probabilistisch,Fermat (k = 3),29,prime,True,False,False,False,0,0.099 ms,0.105 ms,0.129 ms,0.009 ms,"[(15, True, True), (21, True, True), (8, True, True)]",,
Probabilistisch,Fermat (k = 3),31,prime,True,False,False,False,0,0.099 ms,0.108 ms,0.161 ms,0.019 ms,"[(29, True, True), (12, True, True), (22, True, True)]",,
Probabilistisch,Fermat (k = 3),35,composite,False,False,False,False,0,0.033 ms,0.038 ms,0.071 ms,0.012 ms,"[(18, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),37,prime,True,False,False,False,0,0.099 ms,0.108 ms,0.161 ms,0.019 ms,"[(36, True, True), (32, True, True), (4, True, True)]",,
Probabilistisch,Fermat (k = 3),39,composite,False,False,False,False,0,0.033 ms,0.088 ms,0.220 ms,0.072 ms,"[(13, False, None)]",,ggT ≠ 1
Probabilistisch,Fermat (k = 3),43,prime,True,False,False,False,0,0.102 ms,0.140 ms,0.266 ms,0.056 ms,"[(14, True, True), (7, True, True), (22, True, True)]",,
Probabilistisch,Fermat (k = 3),47,prime,True,False,False,False,0,0.100 ms,0.108 ms,0.159 ms,0.018 ms,"[(17, True, True), (43, True, True), (4, True, True)]",,
Probabilistisch,Fermat (k = 3),63,composite,False,False,False,False,0,0.034 ms,0.039 ms,0.066 ms,0.010 ms,"[(23, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),67,prime,True,False,False,False,0,0.099 ms,0.107 ms,0.152 ms,0.016 ms,"[(24, True, True), (22, True, True), (20, True, True)]",,
Probabilistisch,Fermat (k = 3),77,composite,False,False,False,False,0,0.034 ms,0.038 ms,0.060 ms,0.008 ms,"[(67, True, False)]",,a^{n-1} ≠ 1
Probabilistisch,Fermat (k = 3),79,prime,True,False,False,False,0,0.101 ms,0.115 ms,0.171 ms,0.025 ms,"[(22, True, True), (18, True, True), (73, True, True)]",,
Probabilistisch,Fermat (k = 3),83,prime,True,False,False,False,0,0.098 ms,0.109 ms,0.175 ms,0.023 ms,"[(15, True, True), (59, True, True), (79, True, True)]",,
Probabilistisch,Fermat (k = 3),101,prime,True,False,False,False,0,0.099 ms,0.108 ms,0.164 ms,0.020 ms,"[(46, True, True), (90, True, True), (13, True, True)]",,
Probabilistisch,Fermat (k = 3),103,prime,True,False,False,False,0,0.101 ms,0.131 ms,0.211 ms,0.042 ms,"[(64, True, True), (21, True, True), (40, True, True)]",,
