Algorithm,n,avg_time,std_dev,best,worst
Fermat,131,1.5066626171271006e-05,1.2200163032262942e-05,6.299931555986404e-06,2.8999987989664078e-05
Fermat,251,8.699949830770493e-06,3.968569184700861e-06,5.699926987290382e-06,1.3199867680668831e-05
Fermat,503,1.0400079190731049e-05,3.3151280891976695e-06,8.100178092718124e-06,1.4200108125805855e-05
Wilson,131,5.866633728146553e-06,2.4685840747366468e-06,3.7997961044311523e-06,8.600065484642982e-06
Wilson,251,9.133402879039446e-06,1.569624193787853e-06,7.899943739175797e-06,1.090019941329956e-05
Wilson,503,2.6399968191981316e-05,2.5710976370277264e-06,2.4399952962994576e-05,2.9300106689333916e-05
Initial Lucas,131,3.54334091146787e-05,3.0500587404207492e-05,7.700175046920776e-06,6.809993647038937e-05
Initial Lucas,251,5.50000307460626e-05,1.8520840215369496e-06,5.359994247555733e-05,5.710008554160595e-05
Initial Lucas,503,0.00025266665033996105,0.00015530433608742622,0.00014640018343925476,0.0004308999050408602
Lucas,131,1.71000137925148e-05,8.228471806003979e-06,1.1200085282325745e-05,2.6499852538108826e-05
Lucas,251,2.9499875381588936e-05,1.5099783846870004e-06,2.8099864721298218e-05,3.109988756477833e-05
Lucas,503,5.560003531475862e-05,2.147746563323495e-05,3.200001083314419e-05,7.400009781122208e-05
Optimized Lucas,131,2.586663079758485e-05,1.4914537026875561e-05,1.4299992471933365e-05,4.269997589290142e-05
Optimized Lucas,251,1.3999951382478079e-05,4.25778847801248e-06,1.0400079190731049e-05,1.869979314506054e-05
Optimized Lucas,503,2.4366658180952072e-05,1.240000132077331e-05,1.5900004655122757e-05,3.8599828258156776e-05
