Algorithm,n,avg_time,std_dev,best,worst
Fermat,131,2.4299991006652515e-05,7.462573946924644e-06,1.71000137925148e-05,3.200001083314419e-05
Fermat,251,2.5900003189841907e-05,1.1984947827617166e-05,1.810002140700817e-05,3.969995304942131e-05
Fermat,503,1.893332228064537e-05,8.487832770048904e-06,1.2699980288743973e-05,2.859998494386673e-05
Wilson,131,6.933308516939481e-06,3.0989193410914976e-06,4.899920895695686e-06,1.0499963536858559e-05
Wilson,251,1.183338463306427e-05,2.2810360408521542e-06,9.800074622035027e-06,1.4299992471933365e-05
Wilson,503,4.096670697132746e-05,4.6608759967963985e-06,3.6800047382712364e-05,4.600011743605137e-05
Initial Lucas,131,5.846672380963961e-05,5.0305673033551945e-05,1.0600080713629723e-05,0.00011090002954006195
Initial Lucas,251,0.00011243329693873723,1.1906819766305953e-05,0.00010329997166991234,0.00012589991092681885
Initial Lucas,503,0.00046653331567843753,0.00019281158746366637,0.0003299999516457319,0.0006870999932289124
Lucas,131,3.6333377162615456e-05,1.5473105033240527e-05,2.7399975806474686e-05,5.4200179874897e-05
Lucas,251,6.156670860946178e-05,1.9735645286276846e-05,3.929995000362396e-05,7.690000347793102e-05
Lucas,503,0.00014853337779641151,6.504715318957976e-05,7.870001718401909e-05,0.00020740018226206303
Optimized Lucas,131,5.976669490337372e-05,5.2968861410218646e-05,2.5799963623285294e-05,0.00012079998850822449
Optimized Lucas,251,3.153334061304728e-05,8.617595424235393e-06,2.4999957531690598e-05,4.12999652326107e-05
Optimized Lucas,503,4.0433369576931e-05,9.67188479789565e-06,3.4700147807598114e-05,5.160016007721424e-05
