n,avg_time,std_dev,best_time,worst_time,label,Methode
105943,0.0003301000688225031,0.0,0.0003301000688225031,0.0003301000688225031,Fermat (k=3),Fermat
171529,0.00015409989282488823,0.0,0.00015409989282488823,0.00015409989282488823,Fermat (k=3),Fermat
589021,0.00014670006930828094,0.0,0.00014670006930828094,0.00014670006930828094,Fermat (k=3),Fermat
834859,0.00013990001752972603,0.0,0.00013990001752972603,0.00013990001752972603,Fermat (k=3),Fermat
953081,0.00014030002057552338,0.0,0.00014030002057552338,0.00014030002057552338,Fermat (k=3),Fermat
105943,0.10963959991931915,0.0,0.10963959991931915,0.10963959991931915,Wilson,Wilson
171529,0.2559083001688123,0.0,0.2559083001688123,0.2559083001688123,Wilson,Wilson
589021,1.9783532000146806,0.0,1.9783532000146806,1.9783532000146806,Wilson,Wilson
834859,3.8469831999391317,0.0,3.8469831999391317,3.8469831999391317,Wilson,Wilson
953081,4.498755400069058,0.0,4.498755400069058,4.498755400069058,Wilson,Wilson
105943,0.05102330003865063,0.0,0.05102330003865063,0.05102330003865063,Initial Lucas,Initial Lucas
171529,0.008905999828130007,0.0,0.008905999828130007,0.008905999828130007,Initial Lucas,Initial Lucas
589021,0.04656839999370277,0.0,0.04656839999370277,0.04656839999370277,Initial Lucas,Initial Lucas
834859,0.06888180016539991,0.0,0.06888180016539991,0.06888180016539991,Initial Lucas,Initial Lucas
953081,0.27219090005382895,0.0,0.27219090005382895,0.27219090005382895,Initial Lucas,Initial Lucas
105943,0.00124040013179183,0.0,0.00124040013179183,0.00124040013179183,Lucas,Lucas
171529,0.00047719990834593773,0.0,0.00047719990834593773,0.00047719990834593773,Lucas,Lucas
589021,0.009795100195333362,0.0,0.009795100195333362,0.009795100195333362,Lucas,Lucas
834859,0.028257499914616346,0.0,0.028257499914616346,0.028257499914616346,Lucas,Lucas
953081,0.016042100032791495,0.0,0.016042100032791495,0.016042100032791495,Lucas,Lucas
105943,1.5300000086426735e-05,0.0,1.5300000086426735e-05,1.5300000086426735e-05,Optimized Lucas,Optimized Lucas
171529,1.910002902150154e-05,0.0,1.910002902150154e-05,1.910002902150154e-05,Optimized Lucas,Optimized Lucas
589021,7.800059393048286e-06,0.0,7.800059393048286e-06,7.800059393048286e-06,Optimized Lucas,Optimized Lucas
834859,4.100147634744644e-06,0.0,4.100147634744644e-06,4.100147634744644e-06,Optimized Lucas,Optimized Lucas
953081,6.6999346017837524e-06,0.0,6.6999346017837524e-06,6.6999346017837524e-06,Optimized Lucas,Optimized Lucas
105943,3.200024366378784e-06,0.0,3.200024366378784e-06,3.200024366378784e-06,Pepin,Pepin
171529,1.600012183189392e-06,0.0,1.600012183189392e-06,1.600012183189392e-06,Pepin,Pepin
589021,9.0012326836586e-07,0.0,9.0012326836586e-07,9.0012326836586e-07,Pepin,Pepin
834859,6.00004568696022e-07,0.0,6.00004568696022e-07,6.00004568696022e-07,Pepin,Pepin
953081,6.00004568696022e-07,0.0,6.00004568696022e-07,6.00004568696022e-07,Pepin,Pepin
105943,2.6999041438102722e-06,0.0,2.6999041438102722e-06,2.6999041438102722e-06,Lucas-Lehmer,Lucas-Lehmer
171529,1.800013706088066e-06,0.0,1.800013706088066e-06,1.800013706088066e-06,Lucas-Lehmer,Lucas-Lehmer
589021,1.400010660290718e-06,0.0,1.400010660290718e-06,1.400010660290718e-06,Lucas-Lehmer,Lucas-Lehmer
834859,1.200009137392044e-06,0.0,1.200009137392044e-06,1.200009137392044e-06,Lucas-Lehmer,Lucas-Lehmer
