n,avg_time,std_dev,best_time,worst_time,label,Methode
162889,0.00014070002362132072,0.0,0.00014070002362132072,0.00014070002362132072,Optimized Pocklington,Optimized Pocklington
390433,6.87998253852129e-05,0.0,6.87998253852129e-05,6.87998253852129e-05,Optimized Pocklington,Optimized Pocklington
506329,6.580003537237644e-05,0.0,6.580003537237644e-05,6.580003537237644e-05,Optimized Pocklington,Optimized Pocklington
862649,4.850002005696297e-05,0.0,4.850002005696297e-05,4.850002005696297e-05,Optimized Pocklington,Optimized Pocklington
893881,6.13001175224781e-05,0.0,6.13001175224781e-05,6.13001175224781e-05,Optimized Pocklington,Optimized Pocklington
162889,1.0600080713629723e-05,0.0,1.0600080713629723e-05,1.0600080713629723e-05,Proth Variant,Proth Variant
390433,5.700159817934036e-06,0.0,5.700159817934036e-06,5.700159817934036e-06,Proth Variant,Proth Variant
506329,8.600065484642982e-06,0.0,8.600065484642982e-06,8.600065484642982e-06,Proth Variant,Proth Variant
862649,3.0999071896076202e-06,0.0,3.0999071896076202e-06,3.0999071896076202e-06,Proth Variant,Proth Variant
893881,1.3199867680668831e-05,0.0,1.3199867680668831e-05,1.3199867680668831e-05,Proth Variant,Proth Variant
162889,4.26291809999384,0.0,4.26291809999384,4.26291809999384,Optimized Pocklington Variant,Optimized Pocklington Variant
390433,10.331043099984527,0.0,10.331043099984527,10.331043099984527,Optimized Pocklington Variant,Optimized Pocklington Variant
506329,13.362691800110042,0.0,13.362691800110042,13.362691800110042,Optimized Pocklington Variant,Optimized Pocklington Variant
862649,22.82343850005418,0.0,22.82343850005418,22.82343850005418,Optimized Pocklington Variant,Optimized Pocklington Variant
893881,24.04212630004622,0.0,24.04212630004622,24.04212630004622,Optimized Pocklington Variant,Optimized Pocklington Variant
162889,6.800051778554916e-06,0.0,6.800051778554916e-06,6.800051778554916e-06,Generalized Pocklington,Generalized Pocklington
390433,2.6999041438102722e-06,0.0,2.6999041438102722e-06,2.6999041438102722e-06,Generalized Pocklington,Generalized Pocklington
506329,1.500127837061882e-06,0.0,1.500127837061882e-06,1.500127837061882e-06,Generalized Pocklington,Generalized Pocklington
862649,8.998904377222061e-07,0.0,8.998904377222061e-07,8.998904377222061e-07,Generalized Pocklington,Generalized Pocklington
893881,1.100124791264534e-06,0.0,1.100124791264534e-06,1.100124791264534e-06,Generalized Pocklington,Generalized Pocklington
162889,1.400010660290718e-06,0.0,1.400010660290718e-06,1.400010660290718e-06,Grau,Grau
390433,1.400010660290718e-06,0.0,1.400010660290718e-06,1.400010660290718e-06,Grau,Grau
506329,1.0998919606208801e-06,0.0,1.0998919606208801e-06,1.0998919606208801e-06,Grau,Grau
862649,6.998889148235321e-07,0.0,6.998889148235321e-07,6.998889148235321e-07,Grau,Grau
893881,1.00000761449337e-06,0.0,1.00000761449337e-06,1.00000761449337e-06,Grau,Grau
162889,1.300126314163208e-06,0.0,1.300126314163208e-06,1.300126314163208e-06,Grau Probability,Grau Probability
390433,1.200009137392044e-06,0.0,1.200009137392044e-06,1.200009137392044e-06,Grau Probability,Grau Probability
506329,8.998904377222061e-07,0.0,8.998904377222061e-07,8.998904377222061e-07,Grau Probability,Grau Probability
862649,7.00121745467186e-07,0.0,7.00121745467186e-07,7.00121745467186e-07,Grau Probability,Grau Probability
893881,1.00000761449337e-06,0.0,1.00000761449337e-06,1.00000761449337e-06,Grau Probability,Grau Probability
162889,0.00033179996535182,0.0,0.00033179996535182,0.00033179996535182,Miller-Rabin (k=5),Miller-Rabin
390433,0.0003161998465657234,0.0,0.0003161998465657234,0.0003161998465657234,Miller-Rabin (k=5),Miller-Rabin
506329,0.0003307999577373266,0.0,0.0003307999577373266,0.0003307999577373266,Miller-Rabin (k=5),Miller-Rabin
862649,0.00035360013134777546,0.0,0.00035360013134777546,0.00035360013134777546,Miller-Rabin (k=5),Miller-Rabin
893881,0.0003606998361647129,0.0,0.0003606998361647129,0.0003606998361647129,Miller-Rabin (k=5),Miller-Rabin
162889,0.0002405999694019556,0.0,0.0002405999694019556,0.0002405999694019556,Solovay-Strassen (k=3),Solovay-Strassen
390433,0.00016189995221793652,0.0,0.00016189995221793652,0.00016189995221793652,Solovay-Strassen (k=3),Solovay-Strassen
506329,0.00015480001457035542,0.0,0.00015480001457035542,0.00015480001457035542,Solovay-Strassen (k=3),Solovay-Strassen
862649,0.00014780019409954548,0.0,0.00014780019409954548,0.00014780019409954548,Solovay-Strassen (k=3),Solovay-Strassen
893881,0.00014299992471933365,0.0,0.00014299992471933365,0.00014299992471933365,Solovay-Strassen (k=3),Solovay-Strassen
162889,0.06824940000660717,0.0,0.06824940000660717,0.06824940000660717,AKS,AKS
390433,0.15657590003684163,0.0,0.15657590003684163,0.15657590003684163,AKS,AKS
506329,0.20853789988905191,0.0,0.20853789988905191,0.20853789988905191,AKS,AKS
862649,0.3680656999349594,0.0,0.3680656999349594,0.3680656999349594,AKS,AKS
893881,0.38725459994748235,0.0,0.38725459994748235,0.38725459994748235,AKS,AKS
