n,avg_time,std_dev,best_time,worst_time,label,Methode
162889,0.00030919979326426983,0.0,0.00030919979326426983,0.00030919979326426983,Fermat (k=3),Fermat
390433,0.00014570006169378757,0.0,0.00014570006169378757,0.00014570006169378757,Fermat (k=3),Fermat
506329,0.00013779988512396812,0.0,0.00013779988512396812,0.00013779988512396812,Fermat (k=3),Fermat
862649,0.00013720011338591576,0.0,0.00013720011338591576,0.00013720011338591576,Fermat (k=3),Fermat
893881,0.00013440009206533432,0.0,0.00013440009206533432,0.00013440009206533432,Fermat (k=3),Fermat
162889,0.22021639999002218,0.0,0.22021639999002218,0.22021639999002218,Wilson,Wilson
390433,1.0169818999711424,0.0,1.0169818999711424,1.0169818999711424,Wilson,Wilson
506329,1.55298010003753,0.0,1.55298010003753,1.55298010003753,Wilson,Wilson
862649,4.18050320004113,0.0,4.18050320004113,4.18050320004113,Wilson,Wilson
893881,4.47303509991616,0.0,4.47303509991616,4.47303509991616,Wilson,Wilson
162889,0.008853400126099586,0.0,0.008853400126099586,0.008853400126099586,Initial Lucas,Initial Lucas
390433,0.004887299844995141,0.0,0.004887299844995141,0.004887299844995141,Initial Lucas,Initial Lucas
506329,0.019430399872362614,0.0,0.019430399872362614,0.019430399872362614,Initial Lucas,Initial Lucas
862649,0.244529000017792,0.0,0.244529000017792,0.244529000017792,Initial Lucas,Initial Lucas
893881,0.25613150000572205,0.0,0.25613150000572205,0.25613150000572205,Initial Lucas,Initial Lucas
162889,0.005731400102376938,0.0,0.005731400102376938,0.005731400102376938,Lucas,Lucas
390433,0.0020754002034664154,0.0,0.0020754002034664154,0.0020754002034664154,Lucas,Lucas
506329,0.00020219990983605385,0.0,0.00020219990983605385,0.00020219990983605385,Lucas,Lucas
862649,0.02992300014011562,0.0,0.02992300014011562,0.02992300014011562,Lucas,Lucas
893881,0.03109119995497167,0.0,0.03109119995497167,0.03109119995497167,Lucas,Lucas
162889,2.41999514400959e-05,0.0,2.41999514400959e-05,2.41999514400959e-05,Optimized Lucas,Optimized Lucas
390433,1.1300202459096909e-05,0.0,1.1300202459096909e-05,1.1300202459096909e-05,Optimized Lucas,Optimized Lucas
506329,1.300009898841381e-05,0.0,1.300009898841381e-05,1.300009898841381e-05,Optimized Lucas,Optimized Lucas
862649,5.9998128563165665e-06,0.0,5.9998128563165665e-06,5.9998128563165665e-06,Optimized Lucas,Optimized Lucas
893881,1.9900035113096237e-05,0.0,1.9900035113096237e-05,1.9900035113096237e-05,Optimized Lucas,Optimized Lucas
162889,6.1998143792152405e-06,0.0,6.1998143792152405e-06,6.1998143792152405e-06,Pepin,Pepin
390433,1.600012183189392e-06,0.0,1.600012183189392e-06,1.600012183189392e-06,Pepin,Pepin
506329,1.00000761449337e-06,0.0,1.00000761449337e-06,1.00000761449337e-06,Pepin,Pepin
862649,6.00004568696022e-07,0.0,6.00004568696022e-07,6.00004568696022e-07,Pepin,Pepin
893881,6.00004568696022e-07,0.0,6.00004568696022e-07,6.00004568696022e-07,Pepin,Pepin
162889,2.600019797682762e-06,0.0,2.600019797682762e-06,2.600019797682762e-06,Lucas-Lehmer,Lucas-Lehmer
390433,1.800013706088066e-06,0.0,1.800013706088066e-06,1.800013706088066e-06,Lucas-Lehmer,Lucas-Lehmer
506329,1.500127837061882e-06,0.0,1.500127837061882e-06,1.500127837061882e-06,Lucas-Lehmer,Lucas-Lehmer
862649,1.2998934835195541e-06,0.0,1.2998934835195541e-06,1.2998934835195541e-06,Lucas-Lehmer,Lucas-Lehmer
893881,1.200009137392044e-06,0.0,1.200009137392044e-06,1.200009137392044e-06,Lucas-Lehmer,Lucas-Lehmer
162889,1.4998950064182281e-06,0.0,1.4998950064182281e-06,1.4998950064182281e-06,Proth,Proth
390433,8.00006091594696e-07,0.0,8.00006091594696e-07,8.00006091594696e-07,Proth,Proth
506329,6.00004568696022e-07,0.0,6.00004568696022e-07,6.00004568696022e-07,Proth,Proth
862649,4.00003045797348e-07,0.0,4.00003045797348e-07,4.00003045797348e-07,Proth,Proth
893881,4.00003045797348e-07,0.0,4.00003045797348e-07,4.00003045797348e-07,Proth,Proth
162889,1.5300000086426735e-05,0.0,1.5300000086426735e-05,1.5300000086426735e-05,Pocklington,Pocklington
390433,4.600035026669502e-06,0.0,4.600035026669502e-06,4.600035026669502e-06,Pocklington,Pocklington
506329,3.0999071896076202e-06,0.0,3.0999071896076202e-06,3.0999071896076202e-06,Pocklington,Pocklington
862649,3.4999102354049683e-06,0.0,3.4999102354049683e-06,3.4999102354049683e-06,Pocklington,Pocklington
893881,2.299901098012924e-06,0.0,2.299901098012924e-06,2.299901098012924e-06,Pocklington,Pocklington
